wave,flux
336,46.07239850832726
338,494.5692953751564
340,1753.772617705501
342,3788.830527248472
344,6264.417226011145
346,9131.059461414197
348,12474.812450395653
350,16251.609077472069
352,20577.782757679724
354,25469.7183901941
356,30970.829579120757
358,37416.25102945963
360,44938.337797689164
362,53553.51581212743
364,63363.686786605766
366,74353.91182422904
368,86393.2107364641
370,99275.02642971938
372,112721.96223268437
374,126665.46934191986
376,141918.13168377415
378,160073.1043084232
380,182669.70560981278
382,212375.56375198212
384,257523.9748604781
386,336113.0335240204
388,474535.08641460043
390,697878.0316537456
392,1016458.6754736861
394,1408436.9075919217
396,1828049.031027075
398,2223974.9066266525
400,2568110.1600563037
402,2857439.2943896013
404,3107051.1921785837
406,3337926.0704600676
408,3566994.9713530205
410,3806842.7288819887
412,4055079.144097025
414,4298997.468418572
416,4522630.237968102
418,4719216.637344389
420,4891119.773763606
422,5048747.245222316
424,5197231.341360105
426,5338856.7291055685
428,5473014.514455421
430,5600186.3323851675
432,5721092.553234694
434,5829228.822455817
436,5919501.178937472
438,5983815.252332888
440,6020058.437599201
442,6036977.923270616
444,6041070.039074736
446,6041146.739001346
448,6041367.746327552
450,6041651.519517839
452,6041049.465618164
454,6041575.257010568
456,6041420.924765194
458,6041855.952105024
460,6041554.107483272
462,6041455.767578631
464,6041276.925366384
466,6041302.695640453
468,6041270.592465859
470,6041105.948428008
472,6041232.313538197
474,6041464.143087733
476,6041365.715559706
478,6041269.877547896
480,6041159.3091396615
482,6041541.540195254
484,6041512.752765226
486,6041458.451439913
488,6041265.065090641
490,6041424.174055439
492,6041335.005772912
494,6041251.606286606
496,6041624.220049487
498,6041446.997332797
500,6041631.783513772
502,6041327.343329289
504,6041997.418378031
506,6041404.22415741
508,6041745.037708474
510,6041264.028866258
512,6041398.208847736
514,6041550.281057062
516,6041354.476555588
518,6041508.897376733
520,6041546.043219036
522,6041709.891061511
524,6041465.224532947
526,6041478.170563199
528,6041269.522414566
530,6041753.652146998
532,6041401.680983665
534,6041695.910004712
536,6041215.2357254
538,6041696.663568654
540,6041670.750290362
542,6041196.556478224
544,6041437.674087965
546,6041417.947658018
548,6041188.0209772885
550,6041204.070702508
552,6041591.979644698
554,6041285.213455799
556,6041317.918044222
558,6041157.431531372
560,6041059.537714296
562,6041461.139870375
564,6041594.310921878
566,6041160.942641828
568,6041508.781472534
570,6041710.153652876
572,6041341.219199056
574,6041417.258526063
576,6041222.012616187
578,6041396.201772245
580,6041665.513188347
582,6041565.989439697
584,6041341.749885106
586,6041145.028095047
588,6041430.27976059
590,6040807.919769988
592,6041034.5267721
594,6041496.655524811
596,6041251.065161974
598,6041436.721520713
600,6041566.610067002
602,6041525.714952237
604,6041267.655259451
606,6041121.414945928
608,6041409.838538825
610,6041337.922568044
612,6041110.653854783
614,6041261.235746776
616,6041830.797069266
618,6042066.983616658
620,6041241.089134561
622,6040775.150247201
624,6042165.092868421
626,6042646.44637354
628,6042452.452671035
630,6042394.896413963
632,6041827.071032907
634,6041247.811745659
636,6041004.306134722
638,6040778.498135429
640,6039846.93104207
642,6039462.828559573
644,6040771.1015727995
