wave,flux
336,408083.52552788344
338,459456.9471271809
340,438673.58481367
342,420611.18421427556
344,499727.2098306636
346,676005.944105939
348,849398.5353828607
350,938921.7081932002
352,957058.1743125812
354,947509.7683406611
356,919728.6377171224
358,871252.8211908315
360,822136.869538997
362,792979.5989915016
364,778295.5313993366
366,766260.9880732073
368,765031.4923239737
370,789720.5579603671
372,834041.3425176305
374,865200.2596627085
376,852872.6253695927
378,803207.5560859662
380,755950.8435519082
382,745733.2937082765
384,779744.8574763559
386,851607.3879434637
388,962361.7380581774
390,1110903.5856970863
392,1280811.1470631089
394,1443425.3075853027
396,1577435.418140981
398,1671977.1592505972
400,1721836.9870200325
402,1717920.08694184
404,1659607.9677173619
406,1569896.2166856597
408,1502489.680472444
410,1516499.273773274
412,1639604.371922166
414,1841530.9608064115
416,2044600.7197040468
418,2165010.7296159887
420,2160509.024306487
422,2050649.0933841611
424,1900566.173404885
426,1789835.6625318835
428,1779415.660149637
430,1905268.2679566739
432,2178767.168594626
434,2594598.4783149576
436,3125619.36226383
438,3712494.5106159355
440,4268260.569855854
442,4698553.76597553
444,4936592.494032288
446,4973978.507133263
448,4865865.736710614
450,4712989.961793922
452,4627301.712106515
454,4677488.319982252
456,4865552.271722547
458,5149371.968600082
460,5459980.81080839
462,5715368.974612305
464,5891639.8913656855
466,5992346.229186414
468,6034330.406418659
470,6041515.201110765
472,6041248.286590869
474,6041527.234619565
476,6041287.398847449
478,6041517.790908819
480,6041523.288119025
482,6041257.102657037
484,6041239.839642271
486,6041252.868068456
488,6041209.944777519
490,6041531.90954308
492,6041167.478052625
494,6041407.800787762
496,6041670.4110246785
498,6041344.674275109
500,6041111.870381631
502,6041375.410931165
504,6041540.611273917
506,6041350.818631274
508,6041097.295682907
510,6041968.438237032
512,6041305.529267349
514,6041795.5229174895
516,6041167.056517756
518,6041427.809820284
520,6041050.771091402
522,6041284.621727466
524,6041114.094599791
526,6041174.230083712
528,6041288.768728241
530,6041301.41406937
532,6041563.893939014
534,6041385.292772713
536,6041412.907269178
538,6041438.925852067
540,6041298.636771318
542,6041236.894045911
544,6041331.39398806
546,6041602.257589178
548,6041672.270732846
550,6041436.537504404
552,6041569.646753677
554,6041253.5077556325
556,6041535.899837068
558,6041466.170340416
560,6040936.438229904
562,6041233.659254821
564,6041220.154446104
566,6041439.859870573
568,6041512.4783523185
570,6041296.716710032
572,6041278.364857047
574,6041552.703712016
576,6041646.002571877
578,6041290.544065523
580,6041015.401986919
582,6041285.7955364175
584,6041714.1378289955
586,6041771.78770765
588,6041683.686651717
590,6041356.446910588
592,6040940.00059736
594,6041090.981284334
596,6041661.163956986
598,6041702.780201729
600,6041431.871166803
602,6041517.716893672
604,6041626.472012594
606,6041315.455590529
608,6040962.913566161
610,6041234.080655167
612,6041594.592701508
614,6041512.636005494
616,6041253.690284547
618,6041546.092765497
620,6041453.616586589
622,6040383.59423914
624,6039375.097504235
626,6040722.828492407
628,6042182.232415672
630,6042032.143991503
632,6041963.49676738
634,6041142.33290694
636,6040469.75598167
638,6041720.971634991
640,6041736.401449473
642,6041007.2474461775
644,6042114.561077303
646,6043082.750291755
648,6042340.092599763
650,6040454.603023202
652,6041348.458358486
654,6042599.57946388
656,6041396.208767476
658,6042116.68474495
660,6042330.206485676
662,6041402.767556879
664,6043151.425742556
666,6041413.53993171
668,6041154.768932499
670,6042645.967337532
672,6041213.733747657
674,6041263.944456451
676,6041544.969743877
678,6041346.866470176
680,6041150.329061797
682,6041410.317046501
684,6041560.06481197
686,6041447.91879258
688,6040955.81894002
690,6041315.87533897
692,6041350.307975557
694,6041850.281893435
696,6041497.367671759
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
