wave,flux
336,-1.1635310481727261
338,-1.722282820664437
340,16.933567516754838
342,455.98863174238625
344,2213.52338738621
346,5299.541510934499
348,8969.076395609243
350,13119.428917324076
352,17624.03142614106
354,22286.884107322963
356,27619.663119268087
358,34254.30677196597
360,42214.62949175144
362,51228.33880133496
364,61417.468645119574
366,73560.78436573436
368,88052.24448475131
370,104300.48881218207
372,121190.58935818438
374,137927.49642463724
376,155011.5008050101
378,173621.37943462285
380,194525.7852565207
382,217495.10968959768
384,243628.0919916354
386,275812.4397294294
388,318462.43656924757
390,382062.99918302055
392,493506.32485697686
394,685402.9536047516
396,992231.1877357399
398,1429420.0760300776
400,1990037.657687104
402,2623921.2885149852
404,3259026.7905423846
406,3832694.3182476615
408,4319964.790500883
410,4727980.652903891
412,5068866.311020402
414,5346302.012745268
416,5566452.460617786
418,5735689.182384548
420,5864826.3976459615
422,5956554.0324816
424,6009214.273153116
426,6035278.274781766
428,6041596.4481712915
430,6041076.512359252
432,6041203.364835712
434,6040926.825041043
436,6041156.325490953
438,6041278.868014049
440,6041373.189184888
442,6041711.3613658035
444,6041077.96723081
446,6041898.484038081
448,6041493.517892486
450,6041273.995914791
452,6041303.72401741
454,6041696.147569204
456,6041567.706377672
458,6041211.498276462
460,6041520.080221593
462,6041029.411064767
464,6041776.8184326645
466,6041242.257811298
468,6041534.53762754
470,6041254.0250955755
472,6041985.649254596
474,6041357.281545923
476,6041588.9672757005
478,6041190.435539314
480,6041457.761924114
482,6041152.1352324365
484,6041226.575586429
486,6041718.672889099
488,6041314.905148342
490,6041732.719391907
492,6041193.166034565
494,6041317.522068472
496,6041278.308623664
498,6041203.802564188
500,6041537.249110013
502,6041442.257793709
504,6041358.529359578
506,6041201.837837344
508,6041943.090039564
510,6041438.293588895
512,6041201.440017856
514,6041741.671437874
516,6041612.044519983
518,6041556.7684219675
520,6041807.695680059
522,6041332.149289764
524,6041612.21285022
526,6041520.6144034425
528,6041089.84605157
530,6041477.307675697
532,6041137.495190234
534,6041568.585716031
536,6041170.636693579
538,6041627.800515334
540,6041493.18360193
542,6041376.9952576095
544,6041071.370157068
546,6041415.129864958
548,6041593.784661413
550,6041332.813697101
552,6041764.213461319
554,6041871.667503177
556,6041539.332139929
558,6041373.436235766
560,6041181.765630358
562,6041523.860837982
564,6041632.397145972
566,6041001.524217758
568,6041434.601836352
570,6041360.168942195
572,6041529.789067971
574,6041163.182550027
576,6041172.958276977
578,6041337.564976951
580,6041492.183040614
582,6041650.093798951
584,6041547.5915348865
586,6041464.483062959
588,6041851.526112555
590,6041940.677253937
592,6041105.691447432
594,6040883.639536691
596,6041679.732438581
598,6041721.16584
600,6041242.1355562415
602,6041008.946873641
604,6041277.76655768
606,6041537.476197
608,6041378.569924369
610,6041597.966463173
612,6041458.097444862
614,6041338.705751577
616,6041895.180648189
618,6041515.674108009
620,6040723.881792244
622,6040930.039872398
624,6042118.1940271985
626,6041355.08879817
628,6040767.560319629
630,6041751.738302099
632,6041611.118164525
634,6040968.057811347
636,6041289.913836658
638,6042661.662134022
640,6041699.890553571
642,6040337.318497925
644,6042250.768857496
646,6042811.32109738
648,6041756.974545873
650,6041405.510894231
652,6041709.478214226
654,6041397.691214706
656,6041151.20880983
658,6041511.430700275
660,6041551.262273621
662,6041377.486709522
664,6041484.487439438
666,6041443.750089353
668,6041107.991048773
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
