wave,flux
336,117.74266601242262
338,258.3559048774124
340,519.269796443638
342,924.549779175471
344,1464.8510684399432
346,2124.8018029636155
348,2883.201402997426
350,3730.8511935069014
352,4707.188167274444
354,5875.121960391864
356,7248.278250039334
358,8836.56262495299
360,10749.232491030642
362,13059.031400713828
364,15742.152471276057
366,18806.499396712894
368,22361.238894980557
370,26499.874498968205
372,31363.33618571636
374,37163.95637239576
376,44545.997754044336
378,54286.99511098447
380,67120.42939389379
382,83533.87899608871
384,104854.92348869923
386,133341.78136693337
388,171778.5971066156
390,222574.64641391102
392,287691.609211089
394,365846.4898241224
396,452910.6093573859
398,542272.0385463822
400,629478.9337251679
402,710813.3625279792
404,785583.0768108153
406,854718.9218266669
408,921442.2588168666
410,989412.5258500008
412,1060889.7976875424
414,1136249.9938175455
416,1214914.2016139764
418,1296345.4427262824
420,1381409.903522738
422,1472867.8798208765
424,1574481.5035753525
426,1689614.4196434165
428,1819587.7513110717
430,1962834.351154278
432,2113831.465159179
434,2270030.9982729787
436,2430331.701675505
438,2598865.0642589503
440,2782729.5713684224
442,2986108.6086170725
444,3213576.034311231
446,3464799.2153191394
448,3737891.0987265157
450,4032417.2169237053
452,4347669.925801829
454,4681005.980664816
456,5014426.19890144
458,5325711.871410363
460,5594608.98270837
462,5796892.350184885
464,5927430.9732149765
466,6000846.7153958725
468,6033623.141703874
470,6041379.535495115
472,6041332.755978353
474,6041457.961253946
476,6041429.06293805
478,6041404.796325536
480,6041198.0621539075
482,6041432.874420007
484,6041212.048514634
486,6041370.699754896
488,6041406.988902763
490,6041408.718996045
492,6041282.572523364
494,6041230.211828638
496,6041506.6765359705
498,6041596.599182723
500,6041643.801229853
502,6041183.721653133
504,6041231.059146266
506,6041447.257664021
508,6041414.007706749
510,6041361.966866185
512,6041323.9200149765
514,6041790.113745978
516,6041230.908392217
518,6041550.349639107
520,6041435.991472104
522,6041560.847230528
524,6041157.46853892
526,6041065.692119229
528,6041556.216567807
530,6041881.21032786
532,6041325.3361503035
534,6041521.539952588
536,6041163.900660443
538,6041168.862142745
540,6041465.4110586895
542,6041603.744294294
544,6041777.903220649
546,6041789.577446923
548,6041738.715405178
550,6041379.957192629
552,6041281.8236879455
554,6041437.814362864
