wave,flux
336,331.66754881182976
338,535.1167023133496
340,847.832346296163
342,1327.1810881891574
344,1989.103373059353
346,2814.4044388364478
348,3802.9961254066434
350,4996.716935818684
352,6420.181391313748
354,8161.186404382165
356,10228.268504087286
358,12621.066007301117
360,15406.178719582877
362,18647.955572608025
364,22396.703665679415
366,26802.440278070266
368,32064.61080042611
370,38414.08610457368
372,46120.75809511371
374,56058.66802810805
376,69746.4830006816
378,88940.92148718874
380,114476.914729487
382,145847.72283475738
384,182132.33623620545
386,222631.63206454637
388,267528.64515716326
390,318662.162193376
392,379472.4956818209
394,453241.83465017343
396,540360.0195858608
398,638123.8741311644
400,741500.1600460159
402,846050.464650917
404,949799.1122624922
406,1054527.0668935527
408,1163942.535570089
410,1280444.7216785098
412,1404360.8679851475
414,1533757.4814960898
416,1666870.0645308855
418,1804559.9871707738
420,1948839.1886519864
422,2102386.75481552
424,2267642.265075731
426,2444493.4476240976
428,2633812.700392973
430,2832358.7198135275
432,3039809.202779584
434,3255355.863055036
436,3481609.220503355
438,3721716.698059935
440,3980380.976941571
442,4257934.280440181
444,4552966.264460894
446,4858686.111190007
448,5159658.780643224
450,5434792.678555246
452,5666099.684197468
454,5839063.270624306
456,5948482.060898829
458,6008751.6510060765
460,6034715.998452587
462,6040918.872912294
464,6041367.923635682
466,6041539.422526704
468,6041205.554401038
470,6041525.126604043
472,6041633.755824696
474,6041689.448129399
476,6041496.393564597
478,6041913.195557998
480,6041044.741461091
482,6041534.905923301
484,6041353.400627431
486,6041708.385979237
488,6041442.112978694
490,6041634.455810122
492,6041635.550199041
494,6041734.333137575
496,6041388.045777431
498,6041390.022588007
500,6041714.236521654
502,6041558.554020523
504,6041417.514684605
506,6041371.2129781665
508,6041432.8303556815
510,6041394.518626271
512,6041738.971057635
514,6041784.684012168
516,6041164.170493072
518,6041683.629706946
520,6041239.669742133
522,6041651.1043344885
524,6041760.2049074825
526,6041256.201133717
528,6040983.950478187
530,6041013.7946099965
532,6041732.043450798
534,6041309.912607306
536,6041857.2204807745
538,6041157.748274678
540,6041394.676765907
542,6041351.449974645
544,6041469.7041403605
546,6041236.496834857
548,6041221.576471134
550,6041770.063626959
552,6041433.69462187
554,6041121.860429112
556,6041439.195916858
558,6041646.567013413
560,6041408.393687177
562,6041031.250843227
564,6041283.921611035
566,6041435.022341674
568,6041566.871571764
570,6041652.671093235
572,6041846.486524911
574,6041533.169913521
576,6041698.710563368
578,6041463.065577541
580,6041133.791903653
582,6041420.702820914
584,6041476.967394195
586,6041112.869943301
588,6041685.322528637
590,6041613.808106646
592,6041186.464280595
594,6041455.887170298
596,6041906.46405133
598,6041545.166605978
600,6041476.81277369
602,6041223.459819485
604,6041117.473802631
606,6041297.643929169
608,6041250.400435659
610,6041498.891119846
612,6041319.673621151
614,6041182.723059494
616,6041812.096364603
618,6041637.341300892
620,6040910.14944704
622,6041178.510549836
624,6042502.156677095
626,6040939.393841739
628,6039680.45024581
630,6040884.257150933
632,6040955.672546686
634,6040949.270707385
636,6041875.188433459
638,6042849.745163617
640,6041854.168236118
642,6040053.743634243
644,6040174.391357075
646,6041667.810516822
648,6042936.965483579
650,6042696.736607005
652,6041684.264359675
654,6041393.546035638
656,6040777.040007607
658,6040647.593402604
660,6041138.532861856
662,6041435.02022242
664,6042063.703928699
666,6041484.03404262
668,6041109.857618189
670,6041563.807921192
672,6041267.204963894
674,6041163.483577658
676,6041536.128892458
678,6041346.243451842
680,6041150.289956189
682,6041410.31477439
684,6041560.0646874225
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
