wave,flux
336,261363.19469071084
338,319588.3476120138
340,361426.61798199074
342,408902.5354907722
344,485212.3166846516
346,598144.6452687449
348,729445.9346822968
350,840278.3103670044
352,903652.445438667
354,929139.8824688481
356,941181.0372683072
358,946450.7456018683
360,940141.5704348815
362,926321.8096945004
364,920173.6752330217
366,938177.9225989508
368,980365.4753818465
370,1025484.012869617
372,1055108.528967891
374,1076269.2062718864
376,1114647.4233481907
378,1186160.764102106
380,1287839.8671663948
382,1405997.1601707367
384,1535079.125029197
386,1672158.0258733777
388,1817361.4317427615
390,1977035.586406424
392,2176683.9203917966
394,2415773.3842936666
396,2671513.325692557
398,2898338.3417815263
400,3098219.906602315
402,3285281.742776975
404,3475354.411636395
406,3649137.88371606
408,3777882.2596570295
410,3839497.6271604956
412,3829735.0053530214
414,3761933.46568086
416,3665794.82173861
418,3582659.9865477826
420,3562320.0779560786
422,3650947.800708823
424,3881167.2560842284
426,4250555.134750346
428,4706964.593946033
430,5147890.995700069
432,5448733.9898562
434,5518279.236420118
436,5344466.10618866
438,5001172.594927924
440,4608571.383916197
442,4281195.646436204
444,4092322.1392210457
446,4070642.2556178905
448,4219849.030426287
450,4503325.805762403
452,4864725.874878505
454,5245539.414433364
456,5578301.097922985
458,5811805.211038823
460,5953952.460723655
462,6022362.131887263
464,6040871.008982439
466,6041166.695061471
468,6041174.88556268
470,6041212.5775921075
472,6041731.274933664
474,6041201.974435086
476,6041638.835600549
478,6041186.77841901
480,6041575.400322349
482,6041421.12260126
484,6041137.749833303
486,6041252.561649114
488,6041415.057285387
490,6041513.126569647
492,6041125.839747605
494,6041834.41366846
496,6041127.3723165635
498,6041668.916859247
500,6041909.4070010185
502,6041296.695645658
504,6041510.960128123
506,6041371.272412175
508,6041188.939900361
510,6041169.7032009475
512,6041305.823019853
514,6041558.2531582555
516,6041317.910273094
518,6041627.900667572
520,6041592.509830336
522,6041404.980735733
524,6041468.077605098
526,6041694.608606374
528,6041732.603897209
530,6041309.438091415
532,6041353.574423486
534,6041270.348287681
536,6041507.200252512
538,6041666.386155523
540,6041291.209718827
542,6041226.266089033
544,6041092.989060911
546,6041419.122491224
548,6041530.675315647
550,6041110.470892224
552,6041109.693239275
554,6041675.824923552
556,6041840.945647279
558,6041431.530426708
560,6041106.197814979
562,6041485.555943264
564,6041768.945271985
566,6041242.540176406
568,6041296.447886966
570,6041280.639607546
572,6041482.826621149
574,6041370.892711163
576,6041316.374627939
578,6041091.690564096
580,6041101.831487832
582,6041406.719069248
584,6041406.8171819085
586,6041318.677844889
588,6041519.650051096
590,6041371.776477055
592,6041134.106377234
594,6041272.816038271
596,6041494.987380782
598,6041441.02977933
600,6041744.250786354
602,6041576.525107526
604,6041251.993018553
606,6041320.086868985
608,6041436.5286922585
610,6041238.334604951
612,6041099.05328712
614,6041152.060393134
616,6041183.662912761
618,6041346.505709555
620,6042422.635691947
622,6042666.117227616
624,6040412.083162677
626,6039937.296089656
628,6041362.008941246
630,6042420.998093955
632,6041546.147000397
634,6039695.485998418
636,6039263.156298791
638,6041554.26596047
640,6042349.894569839
642,6041419.897909226
644,6041412.929408584
646,6041638.07013527
648,6041122.72915642
650,6039899.644459084
652,6040176.325670089
654,6041529.34291847
656,6041579.88484696
658,6041277.698957879
660,6041108.340584897
662,6040133.436833104
664,6039799.640068508
666,6041086.095898147
668,6041562.412891538
670,6041498.634962895
672,6041269.009382187
674,6041163.848704458
676,6041536.161024685
678,6041346.245716211
680,6041150.290098319
682,6041410.314782647
684,6041560.064687874
686,6041447.918786078
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
