wave,flux
336,87.15413508763862
338,602.5083571489744
340,1695.8133878513931
342,3108.52527010517
344,4837.199470162828
346,7071.955318683513
348,9795.861822015573
350,12880.509926352988
352,16542.847570819817
354,21049.14752921004
356,26524.31071841692
358,33270.04393851939
360,41498.98190340255
362,50945.96010234517
364,61048.849132268755
366,71924.55474995876
368,84126.85286618734
370,97720.84955141332
372,112753.47791889241
374,129384.5440497342
376,148356.04020274465
378,170675.9771708509
380,197827.7361783081
382,233446.461670944
384,287423.3168396021
386,377407.4815223661
388,522963.36760603683
390,735183.5146325226
392,1009290.2420718943
394,1315505.024500346
396,1619450.7094315658
398,1897158.8238708274
400,2156485.76894359
402,2413372.7617283287
404,2680196.919592227
406,2956773.4935935503
408,3243085.9584049652
410,3544792.4470087923
412,3870919.571897579
414,4226929.101346235
416,4613150.241966161
418,5013359.536136981
420,5386029.640953618
422,5690945.819227174
424,5891421.029072881
426,5995626.294130202
428,6035462.99672676
430,6041241.31791272
432,6041595.357511902
434,6041624.096985445
436,6041522.257511969
438,6041374.688069932
440,6041234.697707175
442,6041360.002620518
444,6041593.310163814
446,6040903.773152771
448,6041964.443306186
450,6041529.600996776
452,6041465.002059276
454,6041887.843984149
456,6040861.491401424
458,6041311.067917583
460,6040874.919998334
462,6041685.903556679
464,6041379.234549033
466,6041273.851385634
468,6041755.574100829
470,6041344.27677497
472,6041194.276306117
474,6041378.2651982745
476,6041506.439686233
478,6041666.559989684
480,6042032.32223746
482,6041357.7146261325
484,6041288.250829708
486,6041066.1393431835
488,6041577.991196781
490,6041338.509088233
492,6041468.354144312
494,6041431.177551758
496,6041178.402434811
498,6041298.514049231
500,6041747.580113764
502,6041053.988064485
504,6041091.202038755
506,6041398.362150733
508,6041005.274419888
510,6041514.490528391
512,6041074.186367006
514,6041515.135723313
516,6041516.836158361
518,6041539.88561868
520,6041465.1519829845
522,6041509.785089287
524,6041717.380425718
526,6041209.017909296
528,6041181.337350555
530,6041425.512072631
532,6041340.06042531
534,6041484.892779685
536,6041425.314285209
538,6041337.634155941
540,6041235.130991859
542,6041463.03074772
544,6041496.573427557
546,6041576.560284705
548,6041532.719842304
550,6041455.2019930985
552,6041375.871372701
554,6041400.684963885
556,6041382.172674338
558,6041637.985279195
560,6041806.559922248
562,6041722.742537713
564,6041617.583598756
566,6041865.814032667
568,6041021.271434625
570,6041336.310433639
572,6041855.222078157
574,6040963.6455062935
576,6041657.8253219165
578,6041803.71684186
580,6041214.190894895
582,6041372.192471031
