wave,flux
336,2049.2355396853536
338,3191.137450626882
340,4253.540244061181
342,5435.005474825466
344,6961.964943387604
346,9099.166540557566
348,12039.647861150783
350,15748.337566778275
352,20140.26697292771
354,25429.959044829164
356,31708.213448788094
358,38778.706481387875
360,46466.66791579734
362,55040.36185402595
364,64584.17047041459
366,75491.06371778833
368,88715.96680314119
370,105710.5794932069
372,128653.95064302595
374,162022.99137665262
376,213457.399585014
378,291961.471302771
380,404050.600308236
382,551174.7594009084
384,726936.6487998371
386,913371.5877898437
388,1082116.8763715287
390,1208439.6230523565
392,1289632.8712596726
394,1347386.6797871853
396,1414999.5418552067
398,1520817.549944168
400,1681579.33545198
402,1903099.6475420482
404,2183283.2137530036
406,2512432.293358599
408,2874110.584118652
410,3243739.200385625
412,3596133.084031867
414,3915700.820052093
416,4205091.235062373
418,4484112.918611941
420,4777398.817895556
422,5093653.796529405
424,5407111.548462218
426,5680365.127285952
428,5875021.147003727
430,5983687.8478841735
432,6030695.136720822
434,6041569.421745969
436,6041505.504073034
438,6040902.635782283
440,6041348.150123336
442,6041044.610260223
444,6041580.3180455025
446,6041123.485271403
448,6041471.68361729
450,6041376.963872797
452,6041188.592234358
454,6041528.6102349255
456,6041465.678675188
458,6041380.173313163
460,6041200.489744191
462,6041526.633507815
464,6041619.098839539
466,6041613.907852858
468,6041184.950255278
470,6041374.648786194
472,6041421.905560295
474,6041471.934263592
476,6041147.461664696
478,6041590.131495781
480,6041481.4467685055
482,6041450.921837907
484,6041261.862356931
486,6041339.085513206
488,6041690.419151632
490,6041029.1727007
492,6041685.2635265635
494,6041312.161256805
496,6041453.914702415
498,6041330.861237073
500,6041593.484608644
502,6041289.6090477435
504,6041646.41399144
506,6041225.879455432
508,6041408.5139142275
510,6041399.618628761
512,6041035.98943245
514,6041760.997864734
516,6041364.921008521
518,6041952.8997562155
520,6041437.358474909
522,6041461.026021451
524,6041553.774787236
526,6041357.367477254
528,6041564.08027049
530,6041630.574866046
532,6041290.40743438
534,6041343.61347242
536,6041127.840014551
538,6041373.537690888
540,6041384.15925748
542,6041384.561503797
544,6041460.171624088
546,6041593.534912225
548,6041662.876768628
550,6041278.894368545
552,6041219.260116459
554,6041378.682775908
556,6041319.519554823
558,6041388.881080537
560,6041336.363653551
562,6041301.395141244
564,6041434.793470795
566,6041385.362990532
568,6041122.128755423
570,6041260.000878171
572,6041273.185139911
574,6041541.142760188
576,6041295.771715422
578,6041260.620837886
580,6041345.268425715
582,6041450.29233456
584,6041648.814898297
586,6041407.7387293605
588,6041471.316126196
590,6041212.041309184
592,6041158.97174193
594,6041381.663445787
596,6041450.395740731
598,6041422.291652973
600,6041594.473206655
602,6041730.056712789
604,6041366.2259284835
606,6041071.093150274
608,6041642.781292446
610,6041662.370897284
612,6041425.734012283
614,6041220.030787525
616,6041168.666741061
618,6042010.091265579
620,6041809.675307142
622,6040986.850607761
624,6041597.1039482765
626,6042151.1385968
628,6041696.7137869205
630,6041173.791211732
632,6042373.542172486
634,6042449.379381575
636,6040995.841862083
638,6040421.627788735
640,6040300.33465368
642,6040117.529418456
644,6040165.906209452
646,6041668.367521515
648,6042967.351326524
650,6041710.81317391
652,6040579.896912452
654,6040946.714549594
656,6041965.927095165
658,6042232.629360058
660,6041440.696698951
662,6040740.664171999
664,6040443.353439117
666,6040444.9699455835
668,6040639.939156847
670,6040922.686538348
672,6041187.637555536
674,6041165.661074932
676,6041536.320518591
678,6041346.256955812
680,6041150.290803806
682,6041410.314823638
684,6041560.064690122
686,6041447.918786196
688,6040955.818939696
690,6041315.875338953
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
