wave,flux
336,199.9366052035425
338,561.2442789953444
340,1113.3175115692836
342,1914.6097911957152
344,2981.6536258542474
346,4301.633590472694
348,5889.62240889075
350,7794.668917765919
352,10044.20690432261
354,12665.189766849742
356,15725.846830933891
358,19230.383004105417
360,23266.75364945884
362,27928.232394378498
364,33284.2572281036
366,39384.763189777404
368,46343.42647290269
370,54335.62511735626
372,63298.77660029128
374,73256.96784514107
376,84533.1998562229
378,98163.35185278131
380,116617.10778291478
382,144688.1902612739
384,189364.26096446402
386,256632.4720883836
388,347686.9738825264
390,458736.8736578061
392,584238.2842978605
394,720635.480670944
396,865828.9204077455
398,1017375.9936237149
400,1171849.2140166173
402,1325728.9886528777
404,1478433.8010180227
406,1634068.9558671727
408,1799260.8717327793
410,1976813.3953093404
412,2162164.620921893
414,2344394.397495681
416,2514405.422721156
418,2668414.9571970287
420,2810259.7455473305
422,2948265.832960299
424,3090132.8776455056
426,3240300.639994937
428,3402910.5383447157
430,3579751.8054509354
432,3773344.037253542
434,3985531.7174134236
436,4218492.134766418
438,4475663.236495515
440,4756567.5885975165
442,5052598.1596964765
444,5341661.172952373
446,5597976.132117628
448,5798707.615279117
450,5928736.82548555
452,6001754.050302257
454,6033270.322258404
456,6041453.223740042
458,6041220.535960743
460,6041482.5045011025
462,6041792.05189493
464,6040893.701542234
466,6041918.687822763
468,6041697.164030617
470,6041233.328528118
472,6041475.242386394
474,6041299.236569687
476,6041417.523366654
478,6041213.3665838465
480,6041305.106157422
482,6041423.821354461
484,6041139.535123293
486,6041217.811221332
488,6041566.987816063
490,6041200.571499977
492,6041316.324369369
494,6041410.62593465
496,6041224.59299457
498,6041370.3958214205
500,6040985.2065874385
502,6041610.704023021
504,6041552.527282517
506,6041629.944543029
508,6041258.2541015735
510,6041413.34745015
512,6041259.103207414
514,6041644.18625342
516,6041480.931038009
518,6041272.160091387
520,6041213.628990785
522,6041593.772541877
524,6041520.24751653
526,6041532.70815435
528,6041709.144596565
530,6041108.8119725585
532,6041589.676753128
534,6041549.00502943
536,6041872.354851696
538,6041292.462001699
540,6041396.438452601
542,6041239.437445372
544,6041602.651479453
546,6041482.962747514
548,6041649.441140514
550,6041270.257707749
552,6041705.466980232
554,6041275.215779437
556,6041207.4445838295
558,6041331.687834268
560,6040974.176914549
562,6040955.847234641
564,6040793.280720381
566,6041365.936140487
568,6041174.941095515
570,6041328.088572409
572,6041133.769516048
574,6041609.461714779
576,6041327.219596639
578,6040896.565565547
580,6041164.38680752
582,6041640.130925512
584,6041435.127658177
586,6040822.856906926
588,6041410.9093690235
590,6041476.924557717
592,6041625.276376617
594,6041562.546918747
596,6041129.573315362
598,6041300.955736374
600,6041368.71832146
602,6041692.957603379
604,6041789.786559529
606,6041375.394362247
608,6041104.197760867
610,6041192.5675386675
612,6041332.317097726
614,6041364.665650903
616,6041463.986088662
618,6041753.354955456
620,6041548.604124417
622,6041076.785723766
624,6041263.347138704
626,6041931.088284359
628,6042225.934879884
630,6041446.984697648
632,6039978.830352251
634,6040459.202046194
636,6042116.192259142
638,6041736.543420663
640,6040843.608076373
642,6040750.476355959
644,6041292.575349318
646,6041653.757545792
648,6041643.889690287
650,6041401.302000321
652,6041705.780846213
654,6041397.689690571
656,6041151.216783106
658,6041511.431213889
660,6041551.262288387
662,6041377.486709215
664,6041484.487439378
666,6041443.750089349
668,6041107.991048771
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
