wave,flux
336,4427.00924003618
338,5586.06955275926
340,7519.396423346242
342,10323.615719991401
344,13858.137930138875
346,17762.571887858667
348,21892.52765150251
350,26371.853893967487
352,31237.119866069723
354,36769.22411105573
356,44081.64306731519
358,55064.976072042395
360,74227.66123599054
362,110429.81653911529
364,173523.3334549978
366,266041.06120306737
368,373588.4423720734
370,467716.8204952832
372,522853.3006929989
374,535988.181404188
376,529289.813422334
378,530249.3643163719
380,552911.1268879896
382,596290.9643221312
384,655463.7807799969
386,733185.8457924575
388,842219.3268029541
390,1001979.7870645911
392,1228244.48985292
394,1514075.708199501
396,1830340.4526965593
398,2137966.5034174565
400,2413074.710302556
402,2650751.0148539417
404,2862856.452018529
406,3066932.464376296
408,3279854.588138084
410,3502844.2717086906
412,3719451.8873026934
414,3908305.3669309947
416,4062354.0590374153
418,4200886.441399219
420,4362199.147733737
422,4579640.520602942
424,4865340.300247123
426,5189669.849475105
428,5503033.154277073
430,5756967.790301185
432,5920219.384050598
434,6004801.164392416
436,6036254.411365835
438,6041766.638748071
440,6041286.140224703
442,6041787.514171501
444,6041221.3416834725
446,6040994.43326649
448,6041902.064961497
450,6041043.036504598
452,6041580.410294604
454,6041593.704155913
456,6041366.928877677
458,6041455.828078159
460,6041505.8393797735
462,6041437.050982292
464,6041313.921106694
466,6041717.427095567
468,6041277.826485791
470,6041506.804251888
472,6041281.026284204
474,6041477.472790978
476,6041049.919811486
478,6041819.056117898
480,6041397.261147807
482,6041442.355413019
484,6041491.17169586
486,6040949.778721238
488,6041261.928455939
490,6041553.235121618
492,6041543.8102155775
494,6041561.493198942
496,6041113.477646016
498,6041114.128658526
500,6041422.211758286
502,6041006.145420725
504,6041385.558880291
506,6041386.27911852
508,6041304.917445421
510,6041401.687894408
512,6041027.3568114545
514,6041446.608273459
516,6041655.042080103
518,6040921.286561221
520,6041570.500051935
522,6041155.103754653
524,6041543.010045511
526,6041557.16608888
528,6040936.345638065
530,6041770.084038845
532,6041294.4285092745
534,6041221.5847748965
536,6041172.0156045845
538,6040985.196457512
540,6041125.118313674
542,6041354.969199735
544,6041451.869609282
546,6041740.995099192
548,6041101.6351421615
550,6041534.155541502
552,6041657.000060826
554,6041278.783915532
556,6041241.512004426
558,6041727.204209619
560,6041870.872555703
562,6041448.410180727
564,6041362.8541276865
566,6041214.942707279
568,6041162.337259753
570,6041383.941467805
572,6042012.019329901
574,6041440.985168323
576,6041534.324113487
578,6041433.547221724
580,6041020.809856691
582,6041114.977160783
584,6041247.912177493
586,6041113.752960859
588,6041407.149529311
590,6041403.4299000455
592,6041387.563602267
594,6041449.344889134
596,6041572.992334322
598,6041766.770923166
600,6041376.82065734
602,6041442.109590322
604,6041544.190666446
606,6041313.330737386
608,6041484.889484245
610,6041849.200989161
612,6041317.288158408
614,6040802.102327386
616,6041543.368103224
618,6041649.589889784
620,6040979.946583844
622,6041003.85110613
624,6042286.51168086
626,6041750.13545545
628,6040362.426351442
630,6040310.106692538
632,6041700.591173401
634,6041938.752458437
636,6040794.425404076
638,6040610.891012701
640,6042133.184234102
642,6042775.020951613
644,6040300.59048208
646,6039865.8153559
648,6041720.865376276
650,6042281.757821503
652,6041045.541143038
654,6039430.239027814
656,6039303.233909694
658,6039552.282683564
660,6039931.62091671
662,6041745.886101067
664,6042111.17152427
666,6041477.322341871
668,6040895.10291422
670,6039657.478499807
672,6041375.883251406
674,6041209.3517385
676,6041540.165424884
678,6041346.527907896
680,6041150.307810922
682,6041410.315811784
684,6041560.064744288
686,6041447.918789035
688,6040955.8189398395
690,6041315.875338961
692,6041350.307975557
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
