wave,flux
336,187.31433853118
338,304.82703672196726
340,438.8980500096192
342,618.0875234096741
344,872.9344158978892
346,1176.0222811621054
348,1496.637300683781
350,1847.2621023391744
352,2220.2102917363372
354,2654.192228453632
356,3200.8509906563086
358,3851.1882874251964
360,4575.065647192298
362,5406.474121294044
364,6382.3773123100555
366,7461.739810800037
368,8601.74721437503
370,9930.559608605849
372,11746.218180278296
374,14466.613079742285
376,18714.38135620316
378,25332.6133399679
380,35066.21737303041
382,48321.544692426796
384,65043.95616531175
386,84294.1992189172
388,104287.29008670163
390,123605.44092283773
392,141994.2218974323
394,161107.44874976264
396,183167.31295004854
398,209074.3537169713
400,237104.06768758595
402,263668.99634413165
404,285649.11585030856
406,302467.96435232874
408,315277.370755226
410,325830.8038771065
412,334791.92793822277
414,343417.1902494227
416,354299.9991072736
418,371021.3544770934
420,396646.43937722215
422,432134.80962951604
424,476343.91260508075
426,526916.11531636
428,581679.6438629056
430,639012.4821172794
432,697350.6544969435
434,753944.1172887329
436,805302.7316585511
438,848336.4464650345
440,881386.81531079
442,906725.6481935184
444,929632.753946793
446,957046.0061115688
448,993957.159216531
450,1042678.8165297966
452,1101790.485348407
454,1167866.7257914029
456,1238499.8602693377
458,1311983.637532733
460,1390602.8218365558
462,1479295.2172129431
464,1583687.3992449057
466,1710599.0823239053
468,1866732.822552079
470,2055568.4109541138
472,2278220.461023804
474,2533597.3607584974
476,2817288.041312285
478,3123231.0216474016
480,3444571.493544586
482,3772691.0792734674
484,4099582.5004416467
486,4415341.221509707
488,4710080.261098818
490,4974869.655958766
492,5201254.220339685
494,5384267.496854008
496,5520802.7982149245
498,5614968.640073567
500,5672268.8029245045
502,5703630.555211884
504,5721776.738439155
506,5737922.205227801
508,5758685.75267884
510,5787792.190786456
512,5827467.463762997
514,5874103.676816698
516,5920873.524935284
518,5960781.549353503
520,5992509.355267507
522,6016143.539895766
524,6031571.354307356
526,6039449.054147723
528,6041071.092701887
530,6040951.678178094
532,6041235.597540787
534,6041023.909392753
536,6041366.966771502
538,6041304.964828714
540,6041353.59013637
542,6041339.170396721
544,6041558.1467470145
546,6041288.141426915
548,6041071.8018143475
550,6041324.788408127
552,6041459.67278416
554,6041592.134802184
556,6041967.957909002
558,6041616.380779367
560,6041079.8509588
562,6041033.433289217
564,6041253.994052008
566,6042115.876147509
568,6041170.091802881
570,6041296.425572792
572,6040573.711006383
574,6041328.497424554
576,6041749.688155997
578,6041404.296764153
580,6041105.953950707
582,6041239.969755757
584,6041490.842035006
586,6041319.662678935
588,6041214.897495509
590,6041141.39903463
592,6041588.60313904
594,6041667.962866422
596,6041295.034833154
598,6041548.389366123
600,6041322.908356382
602,6041364.686318014
604,6041310.328285916
606,6041092.692885832
608,6041442.282791672
610,6041463.666197116
612,6041545.809485517
614,6041738.470976683
616,6041475.4971623905
618,6040901.1267799
620,6041583.732895188
622,6042089.4501809925
624,6040476.424739466
626,6040777.065306925
628,6041211.442978999
630,6040748.814589978
632,6042469.275012243
634,6042432.8669443205
636,6041008.519060894
638,6042363.511038759
640,6042920.602308569
642,6041760.146280688
644,6040943.566235306
646,6041266.536734189
648,6042016.687532223
650,6041915.942226986
652,6040967.562930799
654,6039761.470517885
656,6039188.125478851
658,6040106.021674129
660,6041764.650777699
662,6041379.482531587
664,6041484.874457672
666,6041443.777006103
668,6041107.992295968
670,6041563.761031016
672,6041267.206275571
674,6041163.483843078
676,6041536.128915816
678,6041346.243453489
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
