wave,flux
306.2504509,357.7814576
306.5604242,592.6390811
306.871524,912.7536054
307.1837571,1318.875547
307.4971302,1834.537555
307.8116501,2464.644871
308.1273236,2909.78633
308.4441577,3427.103487
308.7621594,3993.408781
309.0813356,4626.325577
309.4016935,5320.573694
309.7232403,6092.878778
310.045983,6927.290092
310.369929,7832.437697
310.6950856,8800.698339
311.0214601,9810.92563
311.3490601,10905.60208
311.6778931,12042.21279
312.0079665,13211.06017
312.3392881,14445.33838
312.6718655,15695.17939
313.0057064,16969.43904
313.3408189,18307.58261
313.6772106,19679.17251
314.0148896,21067.07924
314.3538639,22497.44519
314.6941415,23989.74624
315.0357308,25488.65293
315.3786398,27020.70415
315.7228769,28541.3762
316.0684504,30136.86076
316.4153688,31722.03597
316.7636407,33264.21083
317.1132746,34835.82573
317.4642791,36332.75186
317.8166631,37820.10454
318.1704352,39293.98039
318.5256045,40739.64744
318.8821799,42198.58623
319.2401704,43644.3885
319.5995851,45082.78199
319.9604333,46538.58625
320.3227243,48018.7026
320.6864673,49608.56064
321.0516719,51134.93275
321.4183476,52766.36553
321.786504,54468.09283
322.1561508,56113.78475
322.5272977,57941.53357
322.8999548,59745.94992
323.2741319,61704.34852
323.649839,63729.45307
324.0270864,65737.3054
324.4058842,67935.48005
324.7862428,70278.47934
325.1681726,72686.9634
325.5516841,75339.64175
325.9367879,78007.96341
326.3234948,80961.1511
326.7118154,83915.15485
327.1017607,87153.1368
327.4933418,90539.89277
327.8865696,94050.16004
328.2814555,97665.12689
328.6780106,101453.9001
329.0762465,105346.6322
329.4761746,109372.342
329.8778065,113449.7879
330.281154,117804.2464
330.6862289,122129.0444
331.0930432,126600.8768
331.5016088,131177.594
331.911938,136000.7082
332.3240431,140999.0029
332.7379364,146222.1992
333.1536305,151870.5118
333.571138,158124.9662
333.9904716,165038.3706
334.4116443,172850.6468
334.834669,182076.7745
335.2595588,192768.558
335.686327,205556.4706
336.114987,220988.0948
336.5455522,239254.7895
336.9780363,261350.2736
337.4124531,287415.9798
337.8488164,318211.4209
338.2871402,354250.4926
338.7274388,395801.2543
339.1697264,443839.8338
339.6140175,498536.4261
340.0603266,560503.9041
340.5086685,630383.7182
340.959058,708259.7621
341.4115102,795084.3603
341.8660403,892019.1124
342.3226634,998518.436
342.7813952,1115927.146
343.2422511,1244522.797
343.7052471,1384644.678
344.1703989,1536482.682
344.6377228,1699019.133
345.1072349,1872409.766
345.5789517,2054805.722
346.0528897,2245636.171
346.5290657,2443131.276
347.0074967,2644524.928
347.4881996,2848281.592
347.9711917,3051225.073
348.4564906,3251911.638
348.9441137,3447136.735
349.434079,3634177.92
349.9264043,3812292.283
350.4211078,3978907.315
350.9182079,4132987.449
351.4177232,4273596.747
351.9196722,4399249.706
352.4240741,4511451.773
352.9309478,4607136.625
353.4403127,4687411.133
353.9521884,4751781.012
354.4665945,4799027.591
354.983551,4829191.02
355.503078,4840292.297
356.025196,4831655.895
356.5499253,4802492.062
357.077287,4751416.203
357.6073018,4679340.44
358.1399912,4585987.359
358.6753765,4471657.16
359.2134795,4339255.512
359.754322,4191007.693
360.2979263,4030498.072
360.8443147,3860751.971
361.3935098,3685731.8
361.9455346,3508905.754
362.5004122,3333194.618
363.058166,3161133.035
363.6188196,2995012.669
364.1823969,2835407.954
364.7489221,2683347.206
365.3184196,2539194.636
365.8909141,2402314.999
366.4664305,2273606.853
367.0449943,2153112.052
367.6266307,2040803.408
368.2113658,1937205.61
368.7992255,1843561.631
369.3902363,1760550.445
369.9844249,1689613.45
370.5818182,1631249.538
371.1824436,1585580.514
371.7863286,1553989.177
372.3935012,1534578.928
373.0039896,1526867.88
373.6178223,1528539.062
374.2350283,1538158.065
374.8556368,1552422.946
375.4796772,1568597.215
