wave,flux
306.2504509,6.071669786786837
306.5604242,3.812801150736584
306.871524,11.931849462065651
307.18375710000004,13.520455193699732
307.4971302,31.266494741107174
307.8116501,47.32923363175989
308.1273236,68.92500310311821
308.4441577,101.62188528405784
308.7621594,148.22734450790466
309.0813356,211.5725795936069
309.4016935,300.5299643715079
309.7232403,421.6514818708848
310.04598300000004,573.4952338488072
310.369929,760.1765133109942
310.6950856,972.288200758858
311.0214601,1224.1731395909333
311.34906010000003,1505.2384970215112
311.6778931,1810.41510408342
312.0079665,2126.5564935689845
312.33928810000003,2449.1053996577275
312.6718655,2778.268865351713
313.00570639999995,3117.9298371138702
313.3408189,3446.912976199153
313.6772106,3779.2915735007623
314.0148896,4097.899138493676
314.3538639,4408.6870043632125
314.6941415,4704.725310975645
315.0357308,4999.311290470116
315.37863980000003,5287.03511269182
315.7228769,5558.004107617915
316.0684504,5843.529435599851
316.4153688,6140.950306142179
316.76364069999994,6410.690722764216
317.1132746,6701.851948736725
317.4642791,6984.499771436925
317.8166631,7270.990041881979
318.1704352,7564.17645457158
318.5256045,7857.396129755875
318.8821799,8143.664427915601
319.2401704,8431.359005002985
319.5995851,8742.911396182664
319.96043330000003,9048.169820359077
320.3227243,9365.153920308012
320.6864673,9693.450318994295
321.0516719,10023.255691640064
321.4183476,10363.054111063837
321.786504,10709.564348639044
322.1561508,11061.897375515024
322.5272977,11426.438378211698
322.8999548,11785.36907945358
323.2741319,12173.236322968029
323.649839,12582.435058586863
324.0270864,13015.52082030249
324.40588419999995,13470.781218027436
324.7862428,13965.4289243871
325.16817260000005,14496.143668605386
325.5516841,15079.877772304986
325.9367879,15727.216051015504
326.32349480000005,16441.02035517096
326.7118154,17220.03121376949
327.1017607,18094.54395616812
327.4933418,19038.126773351432
327.88656960000003,20074.97863372844
328.2814555,21186.056284638416
328.6780106,22377.18493850926
329.0762465,23635.247554469566
329.47617460000004,24938.52176564024
329.8778065,26306.39390835411
330.281154,27713.821933485528
330.6862289,29171.574678126795
331.0930432,30675.95587858213
331.5016088,32214.105823421425
331.911938,33780.9148435161
332.32404310000004,35401.28738134342
332.7379364,37027.688738070014
333.1536305,38667.53734668841
333.571138,40317.86755907122
333.9904716,41974.97104558559
334.4116443,43655.624669395824
334.834669,45373.978620804366
335.2595588,47105.85412002343
