wave,flux
306.2504509,49.908085233530166
306.5604242,74.05888519000274
306.871524,117.13668595106049
307.18375710000004,168.04648357249488
307.4971302,234.786478694097
307.8116501,315.74258990041443
308.1273236,363.67314087418686
308.4441577,431.29122814775087
308.7621594,497.20714191474457
309.0813356,562.3914578067837
309.4016935,641.0353634505055
309.7232403,718.7223860836369
310.04598300000004,802.3043666041672
310.369929,892.3055045458874
310.6950856,982.5318780045998
311.0214601,1077.0625921163726
311.34906010000003,1172.4878611305114
311.6778931,1278.7671406610505
312.0079665,1383.129572428992
312.33928810000003,1487.8862423149856
312.6718655,1601.0987826044718
313.00570639999995,1719.2023431111002
313.3408189,1836.484175896744
313.6772106,1965.184272871608
314.0148896,2091.462351048618
314.3538639,2215.52921241812
314.6941415,2352.576232261805
315.0357308,2488.861036734665
315.37863980000003,2622.343598867304
315.7228769,2767.742257295872
316.0684504,2915.487500393229
316.4153688,3065.469396220023
316.76364069999994,3223.549751043304
317.1132746,3379.62795821096
317.4642791,3549.673933885268
317.8166631,3719.336569759692
318.1704352,3889.6183867251616
318.5256045,4067.007016910519
318.8821799,4250.462654518263
319.2401704,4435.224822234988
319.5995851,4616.966940164217
319.96043330000003,4812.230938121798
320.3227243,5004.6274731041085
320.6864673,5209.585457846334
321.0516719,5405.432985006882
321.4183476,5609.029509985025
321.786504,5832.953768193685
322.1561508,6057.700073059954
322.5272977,6292.349061681228
322.8999548,6586.406132826121
323.2741319,6912.898441346197
323.649839,7286.597092622964
324.0270864,7700.684064064339
324.40588419999995,8170.2549116576
324.7862428,8671.589120168352
325.16817260000005,9246.29580572802
325.5516841,9824.048888378076
325.9367879,10420.099352444471
326.32349480000005,10985.598814609226
326.7118154,11537.196726699683
327.1017607,12085.25963719704
327.4933418,12603.362546617289
327.88656960000003,13116.113948267415
328.2814555,13604.44219603174
328.6780106,14081.383755650451
329.0762465,14549.909844675816
329.47617460000004,15048.476899457672
329.8778065,15562.26258251401
330.281154,16076.94357530933
330.6862289,16633.788312599318
331.0930432,17195.133592335103
331.5016088,17817.985876110582
331.911938,18506.23851467368
332.32404310000004,19282.56364058409
332.7379364,20128.07192770056
333.1536305,21096.92530858476
333.571138,22174.44826292961
333.9904716,23406.812728796485
334.4116443,24819.344686386878
334.834669,26369.226285747915
335.2595588,28119.58337810399
335.686327,30118.719597666222
336.114987,32372.279839377446
336.5455522,35027.654340184265
336.9780363,38106.65710743496
337.41245310000005,41663.61946446592
337.8488164,45802.03459760087
338.28714019999995,50622.7524147033
338.7274388,56206.929949583086
339.1697264,62569.2720253133
339.6140175,69808.42322634786
340.06032660000005,77990.32653697117
340.5086685,87099.88815700168
340.959058,97152.36504033935
341.4115102,108263.09496647652
341.8660403,120319.99914592164
342.32266339999995,133456.33295394122
342.7813952,147607.89293865318
343.24225110000003,162693.44822535638
343.70524710000007,178656.75003663902
344.17039889999995,195428.58748194715
344.6377228,212786.3958812797
345.1072349,230613.7015468881
345.5789517,248752.2185787111
346.0528897,266882.12095544214
346.5290657,284776.6463060002
347.0074967,302320.35416298173
347.48819960000003,319335.8461962813
347.9711917,335633.1221632682
348.45649060000005,351030.443877637
348.9441137,365525.0520696686
349.434079,379171.1392946281
349.9264043,391770.1755679082
350.4211078,403498.5601787846
350.9182079,414444.24092017545
351.4177232,424501.3225289268
351.9196722,433892.8367421852
352.42407410000004,442627.55071795353
352.9309478,450850.3134541216
353.4403127,458541.89406721713
353.95218839999995,465735.1076273006
354.4665945,472584.9830552136
354.983551,479093.213128865
355.503078,485329.4123575493
356.025196,491468.9043363138
356.5499253,497386.1251981354
357.077287,503169.2132504697
357.6073018,508809.7979608787
358.1399912,514319.14163617673
358.6753765,519701.1780634133
359.2134795,524864.2228160999
359.754322,529822.5810179361
360.2979263,534305.2978226774
360.8443147,538541.1217831982
361.3935098,542558.5228172187
361.9455346,546533.8918158199
362.5004122,550741.0752715423
363.058166,555615.2877643377
363.61881960000005,562222.272912689
364.1823969,571157.9440090966
364.7489221,583587.1112426913
365.3184196,600565.0380760528
365.8909141,622992.3996231344
366.4664305,651858.9081796554
367.0449943,687302.844301054
367.6266307,728978.111754962
368.2113658,776493.7770977893
368.7992255,827869.9062566519
369.3902363,881196.8020219121
369.9844249,933609.951451109
370.5818182,982186.7412030865
371.1824436,1023865.661333216
371.7863286000001,1056295.8884205697
372.3935012,1077172.7553352143
373.0039896,1085443.7654210252
373.6178223,1081238.0202344751
374.2350283,1065120.061713653
374.8556368,1039375.0586631208
375.4796772,1006876.032015012
376.1071796,971021.2037861956
376.7381741,935413.8766708268
377.3726913,903754.848299688
378.0107622,879598.6708516597
378.652418,865722.8852188777
379.2976904,864291.58782357
379.9466115,876595.0991697955
380.5992136,902949.669293282
381.2555296,943075.0665105262
381.9155926,995180.9521152668
382.5794362,1057448.5094001286
383.2470943,1126704.879516106
383.9186014,1200107.731242867
384.5939922,1273585.4748626323
385.2733019,1344005.14875751
385.9565661,1407685.04276441
386.6438209,1462870.2158711918
387.3351027,1508209.228123682
388.0304484,1543564.5595175738
388.7298955,1570836.9918503887
389.4334817,1591618.2908003696
390.1412452,1608679.5102180417
390.853225,1627266.417760807
391.56946,1650708.651586109
392.2899901,1680803.9181892362
393.0148555,1719092.5109936062
393.7440968,1765163.0322037118
394.4777551,1816626.930013789
395.2158722,1871824.3063178116
395.9584903,1928653.066655252
396.7056521,1980207.278579566
397.457401,2024246.9202509664
398.2137806,2059978.465472044
398.9748353,2087337.416637969
399.7406101,2108302.601932557
400.5111505,2124984.277647293
401.2865024,2140596.315072638
402.0667126,2157768.4430804774
402.8518283,2180832.67736298
403.6418973,2211733.9462904693
404.436968,2251100.6013032654
405.2370896,2298355.773407233
406.0423117,2351666.0259750886
406.8526847,2409288.0246861605
407.66825960000006,2467897.612382867
408.4890879,2525079.2811519126
409.3152221,2578194.8975500367
410.1467152,2625299.028720584
410.9836208,2665613.015083465
411.8259934,2698372.836995029
412.673888,2724436.782795253
413.5273605,2745307.52707899
414.38646760000006,2762740.371277972
415.2512664,2778641.415111679
416.1218152,2795907.591759982
416.9981727,2816929.6062969826
417.8803987,2843995.1412924877
418.7685535,2879751.2249018173
419.6626985,2927180.776748894
420.5628957,2987833.882810553
421.4692081,3065133.790705622
422.3816994,3161470.6619979693
423.3004343,3278579.148051837
424.2254783,3418824.114511272
425.1568978,3583761.613157904
426.0947602,3773470.6685959767
427.0391337,3986001.429588449
427.9900874,4217293.224736664
428.9476917,4460528.814252641
429.9120175,4707317.641119049
430.8831369,4946635.65338678
431.8611232,5166586.3423665855
432.8460504,5356839.763289497
433.8379937,5506764.774634508
434.8370293,5610014.99800885
435.8432345,5663399.736395505
436.8566878,5670111.702168752
437.8774686,5635578.444413395
438.9056575,5570561.085277543
439.9413364,5486209.706603645
440.9845882,5396102.694870823
442.035497,5310300.846961823
443.0941482,5239739.509646039
444.1606283,5190040.949624465
445.23502520000005,5164433.238685889
446.317428,5163034.616767318
447.407927,5184900.9967371365
448.5066141,5227396.8996843975
449.6135822,5287059.491671148
450.7289258,5360156.587181467
451.85274060000006,5442062.460146824
