wave,flux
306.2504509,20.0537268830022
306.5604242,40.28505513749327
306.871524,67.83165208229994
307.18375710000004,90.30142602863133
307.4971302,130.18519855454196
307.8116501,177.72841353221452
308.1273236,204.8948579056525
308.4441577,243.03903658754743
308.7621594,282.152577298108
309.0813356,325.6635785937827
309.4016935,374.6141453148412
309.7232403,431.7260120931416
310.04598300000004,491.0367826194328
310.369929,546.8499043240739
310.6950856,618.7266032900721
311.0214601,688.1247509784288
311.34906010000003,774.5194511451787
311.6778931,856.3173748224215
312.0079665,943.5260287517892
312.33928810000003,1038.1724079052062
312.6718655,1145.155626227967
313.00570639999995,1251.787233096402
313.3408189,1352.412058229585
313.6772106,1480.853556972183
314.0148896,1595.4280435369838
314.3538639,1733.102893778763
314.6941415,1872.301485855491
315.0357308,2005.940133810597
315.37863980000003,2158.964494794384
315.7228769,2307.047336912313
316.0684504,2467.913319937989
316.4153688,2630.865785432492
316.76364069999994,2798.2647870791448
317.1132746,2974.032185103961
317.4642791,3157.59941175652
317.8166631,3336.0791806363645
318.1704352,3517.201847287146
318.5256045,3700.4541316347695
318.8821799,3896.4537117739337
319.2401704,4084.5331798261104
319.5995851,4277.157707061888
319.96043330000003,4466.962336575924
320.3227243,4660.233604256073
320.6864673,4856.988575442246
321.0516719,5050.514285230778
321.4183476,5246.274735038092
321.786504,5444.498197448185
322.1561508,5652.606201085916
322.5272977,5859.302350678988
322.8999548,6081.139528301066
323.2741319,6311.9991099250265
323.649839,6552.946678238921
324.0270864,6824.588615542338
324.40588419999995,7085.594279360443
324.7862428,7382.943201523059
325.16817260000005,7675.500291046371
325.5516841,8000.708444063159
325.9367879,8339.287378407205
326.32349480000005,8676.000071938732
326.7118154,9011.851926887908
327.1017607,9374.158644177223
327.4933418,9740.92150827432
327.88656960000003,10111.070951047646
328.2814555,10493.070055077718
328.6780106,10880.604805477198
329.0762465,11287.959577639816
329.47617460000004,11712.182275618028
329.8778065,12158.424209749255
330.281154,12623.91502247415
330.6862289,13099.0033675728
331.0930432,13605.365902759282
331.5016088,14193.382764863249
331.911938,14855.628923778111
332.32404310000004,15587.62538373113
332.7379364,16423.628551431873
333.1536305,17358.192388975014
333.571138,18391.73116510762
333.9904716,19558.58660783178
334.4116443,20859.20921800492
334.834669,22224.239624284404
335.2595588,23686.561297206303
335.686327,25269.626327547103
336.114987,26994.646853219994
336.5455522,28874.163552090675
336.9780363,30992.679757639267
337.41245310000005,33390.126274488735
337.8488164,36102.30875793541
338.28714019999995,39233.92714159687
338.7274388,42778.62181231516
339.1697264,46836.773578019885
339.6140175,51407.46818833808
340.06032660000005,56541.22152405254
340.5086685,62266.53282179443
340.959058,68555.49176074391
341.4115102,75431.4311490608
341.8660403,83000.11189386674
342.32266339999995,91256.6553326032
342.7813952,100268.26481857688
343.24225110000003,110023.949082288
