wave,flux
306.2504509,57.69462283176959
306.5604242,94.51888665896507
306.871524,147.68526504443952
307.18375710000004,218.5960630758509
307.4971302,306.9255476375108
307.8116501,403.957626863834
308.1273236,477.79037421903536
308.4441577,562.5805640218712
308.7621594,661.6376109534573
309.0813356,767.5942574541693
309.4016935,872.4831380143654
309.7232403,1005.5284863268512
310.04598300000004,1148.2987966001272
310.369929,1290.487525108647
310.6950856,1449.620162724876
311.0214601,1624.2156533609252
311.34906010000003,1808.1186259588892
311.6778931,2010.690763961993
312.0079665,2213.704156957756
312.33928810000003,2432.1637808711257
312.6718655,2669.979757999532
313.00570639999995,2921.155026388645
313.3408189,3190.3002843465806
313.6772106,3466.934560365447
314.0148896,3757.023865932292
314.3538639,4076.991879089297
314.6941415,4394.163830291403
315.0357308,4724.565171992109
315.37863980000003,5078.615458223261
315.7228769,5432.041895231839
316.0684504,5799.867767842536
316.4153688,6182.382918032152
316.76364069999994,6547.703203888051
317.1132746,6932.365327761276
317.4642791,7307.228838299582
317.8166631,7683.411744748811
318.1704352,8073.579214684918
318.5256045,8463.156666353068
318.8821799,8846.115179303339
319.2401704,9234.031573729017
319.5995851,9614.114679314216
319.96043330000003,10012.10232973669
320.3227243,10397.28917341663
320.6864673,10797.245972353376
321.0516719,11183.331311948046
321.4183476,11584.908160212446
321.786504,12008.593113433986
322.1561508,12422.534357773073
322.5272977,12874.557287241349
322.8999548,13382.566325496276
323.2741319,14027.665177379928
323.649839,14794.745440382823
324.0270864,15712.434815277678
324.40588419999995,16803.545562986114
324.7862428,18017.52958631226
325.16817260000005,19398.992491769022
325.5516841,20922.593544666204
325.9367879,22486.52136904243
326.32349480000005,23984.26832288089
326.7118154,25421.62875279885
327.1017607,26779.055761522963
327.4933418,28061.03643600229
327.88656960000003,29299.16000568213
328.2814555,30426.75180333334
328.6780106,31480.55475947944
329.0762465,32536.49154022814
329.47617460000004,33625.60395049308
329.8778065,34777.09912530404
330.281154,35966.543360103475
330.6862289,37208.50200468664
331.0930432,38546.78290849638
331.5016088,40047.797768591074
331.911938,41691.61151779168
332.32404310000004,43566.1054126924
332.7379364,45658.15736307866
333.1536305,47963.49610361079
333.571138,50526.83363964972
333.9904716,53406.95520748785
334.4116443,56538.323000643206
334.834669,59922.89423857616
335.2595588,63463.05989119933
335.686327,67296.76902740769
336.114987,71490.82253931295
336.5455522,76015.52779411411
336.9780363,81085.28960447025
337.41245310000005,86804.12902738071
337.8488164,93352.27721619762
338.28714019999995,100776.20864823252
338.7274388,109281.91301090475
339.1697264,118934.97540925464
339.6140175,129854.23504464312
340.06032660000005,142114.22822465707
340.5086685,155838.76289773313
340.959058,170937.100446368
341.4115102,187524.89627572687
341.8660403,205762.9083405661
342.32266339999995,225742.88334907987
342.7813952,247573.88752828585
343.24225110000003,271409.6112005709
343.70524710000007,297161.10585035675
344.17039889999995,325043.67487074377
344.6377228,355029.56711267674
345.1072349,387016.3408162509
345.5789517,421035.3804789328
346.0528897,456848.7210457453
346.5290657,494267.3220498792
347.0074967,533087.6302055761
347.48819960000003,573056.6728028322
347.9711917,613974.4908027672
348.45649060000005,655631.4087197103
348.9441137,697740.5164869772
349.434079,740310.5088226486
349.9264043,782840.230213066
350.4211078,825643.4024438576
350.9182079,868205.2169258387
351.4177232,910489.3003726228
351.9196722,952519.6720432816
352.42407410000004,993859.8684590196
352.9309478,1034506.631384738
353.4403127,1073942.0339582183
353.95218839999995,1112129.5974096295
354.4665945,1148088.5506644323
354.983551,1181916.0432390592
355.503078,1212806.046719905
356.025196,1240522.0750982638
356.5499253,1264336.7080531192
357.077287,1284314.8036214642
357.6073018,1299940.5084273985
358.1399912,1311398.8191783172
358.6753765,1318686.4678083945
359.2134795,1322374.1767728066
359.754322,1322150.0007862218
360.2979263,1318794.969975651
360.8443147,1313261.2983281629
361.3935098,1306289.485271897
361.9455346,1298802.6171296616
362.5004122,1292466.2704128008
363.058166,1289203.6424294915
363.61881960000005,1292184.4756792022
364.1823969,1303821.571471391
364.7489221,1328001.575780722
365.3184196,1368436.6335832707
365.8909141,1428856.240902689
366.4664305,1512621.363950083
367.0449943,1621376.1146934724
367.6266307,1755761.1629142647
368.2113658,1913756.6544311624
368.7992255,2091607.1567534544
369.3902363,2282002.1853310587
369.9844249,2476417.0203604368
370.5818182,2664158.586024649
371.1824436,2834577.094888589
371.7863286000001,2976414.6488356376
372.3935012,3082036.0013462263
373.0039896,3143760.1449640826
373.6178223,3158939.1486118333
374.2350283,3129107.8149642465
374.8556368,3058747.8062885394
375.4796772,2957127.80435961
376.1071796,2835281.976860986
376.7381741,2705625.8369420627
377.3726913,2581554.5770285246
378.0107622,2476716.3036037376
378.652418,2401352.754046029
379.2976904,2364200.6668630475
379.9466115,2370145.5312364376
380.5992136,2422531.2142254533
381.2555296,2518908.044000226
381.9155926,2655877.1736485427
382.5794362,2824794.0102071688
383.2470943,3016826.874271712
383.9186014,3220878.6708623683
384.5939922,3424556.701792487
385.2733019,3617039.918265371
385.9565661,3789414.0878776233
386.6438209,3933297.167236162
387.3351027,4044807.309567633
388.0304484,4124893.997571184
388.7298955,4177844.949978632
389.4334817,4209272.55380867
390.1412452,4228630.606009772
390.853225,4245948.521485264
391.56946,4270636.89460283
392.2899901,4307064.639650716
393.0148555,4356513.546377176
393.7440968,4417284.648698228
394.4777551,4479547.3345587365
395.2158722,4536307.811052442
395.9584903,4578742.448553584
396.7056521,4593088.095118197
397.457401,4572118.1611711215
398.2137806,4512187.454321789
398.9748353,4417745.85625341
399.7406101,4295705.740577776
400.5111505,4155937.649001639
401.2865024,4011761.492024832
402.0667126,3873049.8493362265
402.8518283,3753040.907392148
403.6418973,3660488.744123341
404.436968,3598252.576540264
405.2370896,3565317.85282871
406.0423117,3557912.133099526
406.8526847,3567975.584246743
407.66825960000006,3587404.626515629
408.4890879,3606021.9683469865
409.3152221,3617715.136696784
410.1467152,3614818.1381457513
410.9836208,3594577.7907126043
411.8259934,3555698.2807453787
412.673888,3499685.667264278
413.5273605,3430439.4562687967
414.38646760000006,3353127.006969911
415.2512664,3274101.080692382
416.1218152,3198833.588072384
416.9981727,3134423.5740519986
417.8803987,3086736.410864384
418.7685535,3061968.1817541136
419.6626985,3064914.7126626987
420.5628957,3102355.9716105545
421.4692081,3180027.683203643
422.3816994,3303737.183507821
423.3004343,3476506.006972333
424.2254783,3694124.604902474
425.1568978,3947850.535496676
426.0947602,4229177.791905041
427.0391337,4528100.845100408
427.9900874,4829035.684435003
428.9476917,5116640.042286716
429.9120175,5372519.329675762
430.8831369,5582607.588607566
431.8611232,5747261.660298376
432.8460504,5869828.748439987
433.8379937,5955192.323578409
