wave,flux
306.2504509,-2.8023583940647536
306.5604242,2.89279261552794
306.871524,0.7789978379585099
307.18375710000004,11.907738590377788
307.4971302,5.378230111547078
307.8116501,16.946241737802882
308.1273236,20.06566406866218
308.4441577,32.97965541021553
308.7621594,43.53736468809308
309.0813356,59.68822824307775
309.4016935,83.13067946543556
309.7232403,105.87799606801848
310.04598300000004,131.93936650176184
310.369929,158.66505552923138
310.6950856,187.540075615366
311.0214601,227.0463829916484
311.34906010000003,259.863848994745
311.6778931,305.71462708723146
312.0079665,356.9399856281994
312.33928810000003,414.46972522622747
312.6718655,479.4947168780394
313.00570639999995,552.7673523273735
313.3408189,634.501589146159
313.6772106,721.8051137422052
314.0148896,810.8250489828982
314.3538639,906.0259105718152
314.6941415,996.6416551325508
315.0357308,1097.6135936338967
315.37863980000003,1195.0740622135093
315.7228769,1296.677935026204
316.0684504,1396.4472983112714
316.4153688,1505.3875644894383
316.76364069999994,1605.563349108574
317.1132746,1716.6247950288434
317.4642791,1821.053504778527
317.8166631,1921.020294633381
318.1704352,2028.4113205727
318.5256045,2134.1607625230085
318.8821799,2237.645771493598
319.2401704,2341.81817485992
319.5995851,2449.957830619005
319.96043330000003,2548.559300259942
320.3227243,2661.1070297697997
320.6864673,2775.2622831884764
321.0516719,2891.929210013433
321.4183476,3028.581564264641
321.786504,3149.3257580559143
322.1561508,3293.067185099605
322.5272977,3450.64280020562
322.8999548,3618.6502427911696
323.2741319,3798.656448373861
323.649839,3986.878974789711
324.0270864,4195.7160483508105
324.40588419999995,4389.759364680517
324.7862428,4612.310365018918
325.16817260000005,4832.115883077093
325.5516841,5048.891187594543
325.9367879,5270.427766504073
326.32349480000005,5498.467002197117
326.7118154,5734.841136526821
327.1017607,5975.391358356738
327.4933418,6225.074014264947
327.88656960000003,6496.145487800263
328.2814555,6777.2829433423685
328.6780106,7067.6382218664685
329.0762465,7379.862340860413
329.47617460000004,7706.188244021946
329.8778065,8043.467185772041
330.281154,8396.277746533122
330.6862289,8774.09006335552
331.0930432,9152.944844780406
331.5016088,9563.843267732527
331.911938,9977.37762167952
332.32404310000004,10427.60957914222
332.7379364,10879.386136004705
333.1536305,11346.3251140041
333.571138,11831.847142220791
333.9904716,12322.39393151272
334.4116443,12833.105063645336
334.834669,13370.117196017756
335.2595588,13924.275377151322
335.686327,14503.39704485015
336.114987,15107.02418906012
336.5455522,15731.823725977596
336.9780363,16404.01538095355
337.41245310000005,17126.75272551765
337.8488164,17895.143978403747
338.28714019999995,18721.469775750465
338.7274388,19591.52018521047
339.1697264,20584.123058959995
339.6140175,21701.74900076652
340.06032660000005,22983.93917761841
340.5086685,24476.86765299424
340.959058,26230.244730291783
341.4115102,28343.79279916644
341.8660403,30867.314761710182
342.32266339999995,33929.920868441804
342.7813952,37579.67655321477
343.24225110000003,41897.25375364439
343.70524710000007,46998.57089314416
344.17039889999995,52874.688272518906
344.6377228,59685.06226957964
345.1072349,67342.30873770293
345.5789517,75947.03269285256
346.0528897,85402.51418928627
346.5290657,95730.6904301556
347.0074967,106924.26692163092
347.48819960000003,118936.43665915228
347.9711917,131838.85944933989
348.45649060000005,145548.60331305664
348.9441137,160193.91256395867
349.434079,175759.26676814456
349.9264043,192122.1791002669
350.4211078,209387.8590033725
350.9182079,227351.42987350308
351.4177232,245816.3435111816
351.9196722,264599.60124042537
352.42407410000004,283388.1959720855
352.9309478,301823.2946423347
353.4403127,319564.75119961164
353.95218839999995,336244.22537237505
354.4665945,351596.98087056173
354.983551,365403.78856354
355.503078,377516.72475837823
356.025196,387854.91027543007
356.5499253,396332.3585689052
357.077287,403024.2405497675
357.6073018,408154.1713930788
358.1399912,411697.5585001899
358.6753765,413852.9013877895
359.2134795,415049.82945976185
359.754322,415293.4139651413
360.2979263,415183.1452728765
360.8443147,414792.69241018646
