wave,flux
306.2504509,0.2189027446661669
306.5604242,2.6739803046339303
306.871524,-2.3649954063949425
307.18375710000004,-3.2979813680573
307.4971302,2.0224433343189627
307.8116501,-1.345206544889876
308.1273236,1.6069647760885537
308.4441577,1.1446832089528505
308.7621594,-6.774273644151988
309.0813356,1.2886166070528369
309.4016935,2.520561577693431
309.7232403,1.0173909252478692
310.04598300000004,-0.2394717761354381
310.369929,0.4387624956564884
310.6950856,-0.7442833938837394
311.0214601,2.725332260377156
311.34906010000003,0.7348058946947049
311.6778931,-4.464696435144288
312.0079665,0.5713500714581444
312.33928810000003,2.7122001424167155
312.6718655,-1.2475265439787946
313.00570639999995,-3.689007997043826
313.3408189,2.97359652199827
313.6772106,-1.4740460512838358
314.0148896,-1.5621509587657678
314.3538639,0.2029830046770494
314.6941415,0.7662508894215411
315.0357308,-0.1392315648842495
315.37863980000003,5.683223046174925
315.7228769,-0.8809410092508037
316.0684504,-1.2158672497561167
316.4153688,2.018460185713016
316.76364069999994,-0.0804878580662809
317.1132746,0.7916300380669572
317.4642791,-4.364386838980652
317.8166631,1.5989829192681326
318.1704352,0.581342460937124
318.5256045,-0.472198025370057
318.8821799,-2.403331909504214
319.2401704,-3.78969609518856
319.5995851,-0.3839692667997457
319.96043330000003,0.2224190730195116
320.3227243,-2.829625749651876
320.6864673,4.417323126879039
321.0516719,1.897302989396768
321.4183476,-1.3757947133164743
321.786504,1.9969120585077764
322.1561508,-3.244410865789957
322.5272977,-1.4255315678647342
322.8999548,-1.391070619349294
323.2741319,-0.1199996265702074
323.649839,4.7576095254096415
324.0270864,3.7912755102961926
324.40588419999995,-1.2846477247784842
324.7862428,-1.4459138743470423
325.16817260000005,-1.6724177255432704
325.5516841,-1.2317477399292311
325.9367879,1.9279135285475093
326.32349480000005,-1.2259270308894374
326.7118154,-0.5800919555030375
327.1017607,2.170112282982084
327.4933418,-0.4812447102130757
327.88656960000003,-3.4114423142257166
328.2814555,0.2267778686039604
328.6780106,3.202765372108201
329.0762465,0.6256547770498692
329.47617460000004,-0.2825222903276642
329.8778065,-4.517679337096387
330.281154,-1.4437012987002276
330.6862289,0.1954630269800048
331.0930432,-2.838251437117085
331.5016088,0.9914997583086632
331.911938,-2.0510954130065566
332.32404310000004,-5.270860790177343
332.7379364,3.334076277272521
333.1536305,11.94236385733624
333.571138,20.180810762046736
333.9904716,29.01799105543311
334.4116443,42.04377150502144
334.834669,56.10750417113968
335.2595588,88.76520866196545
335.686327,116.07641402683112
336.114987,162.50457719500568
336.5455522,201.3651855004128
336.9780363,244.7108389149766
337.41245310000005,303.36176075885066
337.8488164,355.52571068450624
338.28714019999995,414.764585109301
338.7274388,479.330123755882
339.1697264,555.88555962821
339.6140175,628.9704583233506
340.06032660000005,719.0718381239888
340.5086685,808.8896732040646
340.959058,908.1238655895064
341.4115102,1023.5736314334667
341.8660403,1144.5995662209991
342.32266339999995,1279.7590764912002
342.7813952,1414.867618361228
343.24225110000003,1571.6958152106697
343.70524710000007,1731.0503340639043
344.17039889999995,1896.644361825881
344.6377228,2081.7985392877617
345.1072349,2262.622604334473
345.5789517,2459.8497785397767
346.0528897,2677.230523188557
346.5290657,2901.160158813744
347.0074967,3125.263159430901
347.48819960000003,3380.6931508200373
347.9711917,3632.978401249289
348.45649060000005,3902.385779079717
348.9441137,4188.057268846198
349.434079,4479.996822787173
349.9264043,4787.608222622547
350.4211078,5101.171551432778
350.9182079,5444.754156059489
351.4177232,5799.562376766388
351.9196722,6169.217866902878
352.42407410000004,6558.840882499778
352.9309478,6974.28973909033
353.4403127,7407.952439113398
353.95218839999995,7872.794361517005
354.4665945,8356.895281457088
354.983551,8869.398491031723
355.503078,9396.603151344218
356.025196,9953.996848092993
356.5499253,10544.545869531845
357.077287,11166.66636024544
357.6073018,11818.082506247842
358.1399912,12499.35739957683
358.6753765,13228.831945569613
359.2134795,14000.690796837383
359.754322,14814.436329011269
360.2979263,15682.3371134868
360.8443147,16582.806072247447
361.3935098,17527.066683409383
361.9455346,18513.101116305847
362.5004122,19534.944172824744
363.058166,20606.913198387832
363.61881960000005,21690.60865678276
364.1823969,22835.105879880368
364.7489221,24027.767512122948
365.3184196,25257.921934961832
365.8909141,26547.96183479773
366.4664305,27917.0716731991
367.0449943,29331.34995808664
367.6266307,30820.89034064072
368.2113658,32383.742995353958
368.7992255,34036.563969205505
369.3902363,35758.06924075573
369.9844249,37566.640048764064
370.5818182,39447.93466988108
371.1824436,41413.03241119877
371.7863286000001,43461.47845007956
372.3935012,45588.94789025924
373.0039896,47797.8489443637
373.6178223,50109.6789947806
374.2350283,52517.82088072415
374.8556368,55070.914274003495
375.4796772,57748.55356308314
376.1071796,60601.19413648369
376.7381741,63650.413026219416
377.3726913,66932.27358695607
378.0107622,70544.42289583232
378.652418,74550.42134868441
379.2976904,79005.8760413776
379.9466115,84082.94977398356
380.5992136,89928.28294836861
381.2555296,96690.74184116077
381.9155926,104571.66532158243
382.5794362,113677.8621274078
383.2470943,124312.99750696046
383.9186014,136528.02673399475
384.5939922,150459.2036493599
385.2733019,166154.9188798817
385.9565661,183627.06840807167
386.6438209,202807.39225295067
387.3351027,223552.20139771487
388.0304484,245950.48920129475
388.7298955,269702.3988344521
389.4334817,294859.91364288674
390.1412452,321438.9828331107
390.853225,349439.0393326313
391.56946,379013.4895137434
392.2899901,409931.3414159437
393.0148555,442523.2393318081
393.7440968,476428.2916638152
394.4777551,511727.4719473536
395.2158722,548455.2641701505
395.9584903,586152.0193274638
396.7056521,624520.6119131482
397.457401,663558.4958920943
398.2137806,703090.6469897234
398.9748353,743151.7820297474
399.7406101,783495.6331579861
400.5111505,824227.5103251793
401.2865024,864998.621852049
402.0667126,906049.6917189886
402.8518283,947837.8777268492
403.6418973,989955.597977856
404.436968,1032777.1398378088
405.2370896,1076411.4858510254
406.0423117,1121257.6378331918
406.8526847,1167394.000988693
407.66825960000006,1215126.584968691
408.4890879,1264416.4835662842
409.3152221,1315583.0290509376
410.1467152,1368361.55160732
410.9836208,1422800.9074381704
411.8259934,1478517.3840629675
412.673888,1535358.7816492296
413.5273605,1592987.7690922122
414.38646760000006,1651297.6504943038
415.2512664,1710154.3928408038
416.1218152,1769589.109041315
416.9981727,1829880.466710336
417.8803987,1890905.2703589736
418.7685535,1953306.9954092768
419.6626985,2017468.3718706167
420.5628957,2084043.7191546613
421.4692081,2153214.9878051127
422.3816994,2226162.505119724
423.3004343,2302639.810350409
424.2254783,2383602.324795752
425.1568978,2468703.806556819
426.0947602,2558681.706504917
427.0391337,2652574.4561667982
427.9900874,2750419.10546233
428.9476917,2850591.022508026
429.9120175,2952822.9430719414
430.8831369,3055860.5955759324
431.8611232,3158940.400082195
432.8460504,3260715.4129458107
433.8379937,3362290.247104889
434.8370293,3462327.826255576
435.8432345,3562911.427970753
436.8566878,3664517.512866943
437.8774686,3768790.586969754
438.9056575,3877615.643973071
439.9413364,3992541.833373088
440.9845882,4113664.816121114
442.035497,4242483.573973053
443.0941482,4378873.207558891
444.1606283,4522338.858651351
445.23502520000005,4671847.243411091
446.317428,4825924.767351876
447.407927,4982562.326538758
448.5066141,5138039.845124808
449.6135822,5289112.597300875
450.7289258,5432113.391838777
451.85274060000006,5563652.33979086
452.9851239,5681358.097487236
454.1261744,5781946.738916035
455.2759921,5863942.738136974
456.4346788,5926525.14109134
457.6023374,5972421.097335591
458.7790727,6003907.835803029
459.9649909,6024406.263262393
461.1601998,6035781.1251124125
462.364809,6040326.726982105
463.5789295,6041527.111752887
464.8026741000001,6041001.2023078725
466.0361575,6041416.561722827
467.2794956999999,6041527.931859089
468.5328070000001,6041432.420714761
469.7962111000001,6041447.772660347
471.0698299,6040931.616033499
472.3537868,6041403.217921189
473.6482074,6041674.861354432
474.9532192,6041447.061103933
476.2689517,6041454.407711966
477.5955362,6041101.028534197
478.93310639999993,6041508.268768439
480.2817979,6041375.764006318
481.6417484,6041386.794316926
483.01309800000007,6041561.143575689
484.3959889,6041608.166466737
485.7905654,6041668.532995514
487.1969743,6041276.271890155
488.6153648,6041121.015501099
490.0458884,6041081.200447287
491.488699,6041809.045117474
492.943953,6041586.459739657
494.4118094,6041501.946883927
495.8924299,6041292.573646646
497.3859785,6041422.141206198
498.8926222,6041334.713769903
500.4125306,6041264.677779067
501.9458762,6041808.862784239
503.4928341,6040877.924051358
505.0535827,6041543.008020443
506.628303,6041367.723559893
508.2171791999999,6041691.838107199
509.8203986,6041449.584997044
511.4381515,6041248.945018512
513.0706316000001,6040717.136401367
514.7180356,6041567.071696827
516.3805639,6041405.852886506
518.0584200000001,6041546.266599087
519.7518110000001,6041697.726703903
521.4609475999999,6041645.874531662
523.186044,6041763.442305701
524.927318,6041313.478623512
526.6849915,6041365.909338871
528.45929,6041303.564771425
530.2504428000001,6041332.6402501725
532.0586836,6041507.338786515
533.8842498,6041129.687439278
535.7273833,6041547.131500177
537.5883299,6041267.246896963
539.46734,6041600.101104967
541.3646685,6041771.0197779415
543.2805745000001,6041119.018527296
545.2153222000001,6041600.475931759
547.1691801,6041204.702857231
549.1424218999999,6041484.459515576
551.1353259,6041139.934329477
553.1481756000001,6041544.711124892
555.1812597,6041843.002060568
557.2348721,6041030.121842997
559.3093121,6041587.9581719125
561.4048845,6041343.530826898
563.5218996,6041477.589790477
565.6606737000001,6041406.664104506
567.8215287,6041306.85650479
570.0047927,6041751.744501635
572.2107997,6041288.551213986
574.4398902,6041175.454467743
576.692411,6041741.427353386
578.9687155,6041508.471409162
581.2691637,6041477.618924703
583.5941226,6041616.482766182
585.943966,6041385.97903171
588.3190752,6041623.568628947
590.7198384999999,6041216.03793594
593.1466518,6041658.673314701
595.5999188999999,6041337.549240787
598.0800512,6041676.10045289
600.5874682,6041405.60710289
603.1225977000001,6041124.951514008
605.6858758999999,6041296.071710334
608.2777476,6041522.778541967
610.8986664,6041073.067210829
613.549095,6041501.160259938
616.2295054,6041656.4247836415
618.940379,6041536.0169732
621.6822068,6041393.74584851
624.4554901,6041385.735604943
627.2607402000001,6041944.943976503
630.0984786,6041000.536834233
632.9692378999999,6040277.537207368
635.8735614,6041091.676526782
638.8120038,6041172.3637130335
641.7851312999999,6041475.916854696
644.7935217999999,6041682.067392472
647.8377654,6042740.47507047
650.9184646000001,6042019.614114802
654.0362346,6041645.946689026
657.1917038,6040902.839691333
657.501561,6041213.102491157
658.3833105,6041675.173506688
659.2678255,6041354.862794315
660.1551197000001,6041644.441429223
660.3855139,6041208.92983355
661.0452068,6041939.220913758
661.9381002,6041391.46357243
662.8338137000001,6041566.783747729
663.7323607999999,6041506.331844827
664.6337553,6041395.154352518
