wave,flux
1817.164934,-4.852253918
1790.102205,-6.314735963
1763.812741,3.012892561
1738.264695,47.50956323
1713.427949,924.2062854
1689.273995,2686.728422
1665.775831,5303.138715
1642.907862,8808.323644
1620.64581,13131.65469
1598.96663,18348.8199
1577.848431,24383.44318
1557.270407,31252.79341
1537.212767,37357.41016
1517.65668,42826.57222
1498.584209,47543.5127
1479.978265,51572.60223
1461.822555,54934.93174
1444.101535,57516.91826
1426.800368,59475.83945
1409.904887,60687.91916
1393.401553,61951.61263
1377.277422,63212.81523
1361.520115,64446.76927
1346.117782,65774.61532
1331.059081,67048.12686
1316.333145,68294.85392
1301.92956,69635.10897
1287.838342,70943.13432
1274.049912,72266.68982
1260.555078,73626.83058
1247.345017,75079.99597
1234.411252,76558.46772
1221.74564,78139.66534
1209.340352,79710.5278
1197.187859,81464.3997
1185.28092,83183.90099
1173.612564,84898.54601
1162.17608,86692.22012
1150.965006,88477.25347
1139.973115,90239.39111
1129.194406,91926.16856
1118.623093,93586.71987
1108.253594,95272.9291
1098.080527,96906.95827
1088.098695,98682.32467
1078.303081,100597.3328
1068.688841,103053.0823
1059.251295,106046.4316
1049.98592,109892.6487
1040.888345,114547.9447
1031.954343,120203.3958
1023.179826,127015.3786
1014.560839,134523.6178
1006.093553,143054.3781
997.774265,151908.3766
989.5993859,161118.4348
981.5654413,170169.9002
973.6690651,178802.4657
965.9069952,186716.7448
958.2760697,193565.7628
950.7732231,199328.1658
943.3954827,203837.5107
936.1399648,207328.7211
929.0038716,209551.2777
921.9844879,211252.9888
915.0791782,212661.0268
908.2853836,213601.6161
901.6006193,215491.1575
895.0224714,218796.0375
888.548595,223276.4663
882.1767113,230335.3705
875.9046055,240011.6647
869.7301243,252434.9818
863.6511743,268858.4729
857.6657193,290351.8546
851.7717787,319260.2076
845.9674256,354851.3798
840.2507849,397360.559
834.6200316,449036.916
829.0733892,508818.6896
823.6091279,573945.5031
818.2255634,646908.4781
812.9210552,722101.6862
807.694005,795891.4491
802.5428559,867995.7598
797.4660904,939967.3968
792.4622299,1014771.42
787.5298327,1097109.567
782.6674934,1194049.297
777.8738418,1316496.74
773.1475413,1478887.429
768.4872883,1686372.108
763.8918112,1944377.941
759.3598692,2260087.348
754.8902516,2621687.193
750.4817768,3020656.945
746.1332914,3438081.75
741.8436694,3860191.015
737.6118116,4251327.231
733.4366444,4610226.111
729.3171195,4923148.011
725.2522128,5180490.74
721.2409241,5380095.79
717.282276,5528660.645
713.3753136,5639016.525
709.5191037,5722889.209
705.7127343,5791515.765
701.9553139,5849221.223
698.2459709,5898994.679
694.5838534,5937815.247
690.9681281,5969496.297
687.3979803,5996219.82
683.8726131,6021473.594
680.3912473,6035394.072
676.9531202,6043508.987
673.557486,6039861.955
670.2036149,6039644.259
666.8907926,6041457.7
663.6183203,6040498.228
660.3855139,6041389.301
657.1917038,6042762.341
654.0362346,6041941.306
650.9184646,6041534.894
647.8377654,6043282.028
644.7935218,6041503.667
641.7851313,6043505.889
638.8120038,6039750.323
635.8735614,6042219.043
632.9692379,6042483.235
630.0984786,6041116.801
627.2607402,6040937.488
624.4554901,6040369.429
621.6822068,6041359.038
618.940379,6041219.451
616.2295054,6041265.262
613.549095,6041409.506
610.8986664,6041303.903
608.2777476,6041722.417
605.6858759,6041478.971
603.1225977,6041078.573
600.5874682,6041319.842
598.0800512,6041556.831
595.5999189,6041532.735
593.1466518,6041549.41
590.7198385,6040892.881
588.3190752,6041490.243
585.943966,6041392.377
583.5941226,6041286.097
581.2691637,6041161.778
578.9687155,6041256.861
576.692411,6041154.624
574.4398902,6041749.471
572.2107997,6041295.027
570.0047927,6041452.836
567.8215287,6041406.791
565.6606737,6041595.773
563.5218996,6041593.326
561.4048845,6041243.138
559.3093121,6041070.234
557.2348721,6041026.358
555.1812597,6041325.466
553.1481756,6041711.645
551.1353259,6041352.713
549.1424219,6041453.46
547.1691801,6041415.432
545.2153222,6041397.127
543.2805745,6041468.59
541.3646685,6041415.413
539.46734,6041930.374
537.5883299,6041628.438
535.7273833,6041427.934
533.8842498,6041446.499
532.0586836,6041386.925
530.2504428,6040890.617
528.45929,6041305.639
526.6849915,6041170.957
524.927318,6041379.405
523.186044,6041421.966
521.4609476,6041578.328
519.751811,6041587.285
518.05842,6041567.78
516.3805639,6041334.259
514.7180356,6041498.49
513.0706316,6041468.346
511.4381515,6041422.622
509.8203986,6041545.579
508.2171792,6041488.329
506.628303,6041504.951
505.0535827,6041445.186
503.4928341,6041541.076
501.9458762,6041153.694
500.4125306,6041852.677
498.8926222,6041083.647
497.3859785,6041500.585
495.8924299,6041092.636
494.4118094,6041472.854
492.943953,6041593.34
491.488699,6041028.965
490.0458884,6041497.441
488.6153648,6041581.668
487.1969743,6041662.648
485.7905654,6041339.813
484.3959889,6041189.377
483.013098,6041930.711
481.6417484,6041546.796
480.2817979,6041955.074
478.9331064,6041585.988
477.5955362,6041197.924
476.2689517,6041194.352
474.9532192,6041384.116
473.6482074,6041532.467
472.3537868,6041413.516
471.0698299,6041035.835
469.7962111,6041609.271
468.532807,6041029.083
467.2794957,6041842.51
466.0361575,6041398.303
464.8026741,6041595.621
463.5789295,6041385.351
462.364809,6041226.529
461.1601998,6041419.62
459.9649909,6041598.433
458.7790727,6041237.48
457.6023374,6041552.722
456.4346788,6041749.9
455.2759921,6041393.678
454.1261744,6041218.148
452.9851239,6041830.489
451.8527406,6041651.949
450.7289258,6041297.522
449.6135822,6040848.206
448.5066141,6041301.143
447.407927,6041765.143
446.317428,6041107.558
445.2350252,6041366.083
444.1606283,6041123.83
443.0941482,6041214.699
442.035497,6041124.254
440.9845882,6041595.994
439.9413364,6041795.533
438.9056575,6040985.326
437.8774686,6041155.82
436.8566878,6041324.679
435.8432345,6041504.066
434.8370293,6041580.064
433.8379937,6041585.455
432.8460504,6041209.642
431.8611232,6034029.505
430.8831369,6014373.302
429.9120175,5977044.406
428.9476917,5920406.293
427.9900874,5843109.473
427.0391337,5744620.135
426.0947602,5625840.279
425.1568978,5488019.509
424.2254783,5348097.69
423.3004343,5219649.054
422.3816994,5115508.017
421.4692081,5044440.703
420.5628957,5013499.898
419.6626985,5024080.775
418.7685535,5076537.809
417.8803987,5166104.491
416.9981727,5282161.772
416.1218152,5412835.585
415.2512664,5546018.147
414.3864676,5672530.417
413.5273605,5781054.739
412.673888,5868839.085
411.8259934,5935645.451
410.9836208,5983426.323
410.1467152,6014764.261
409.3152221,6032252.143
408.4890879,6039689.026
407.6682596,6041778.87
406.8526847,6041283.297
406.0423117,6041646.042
405.2370896,6041788.232
404.436968,6041547.482
403.6418973,6041104.603
402.8518283,6041608.184
402.0667126,6040973.774
401.2865024,6041680.103
400.5111505,6041614.211
399.7406101,6041308.348
398.9748353,6041860.17
398.2137806,6041265.964
397.457401,6041397.516
396.7056521,6041451.02
395.9584903,6041470.416
395.2158722,6041246.402
394.4777551,6041522.052
393.7440968,6041263.937
393.0148555,6041633.539
392.2899901,6041428.479
391.56946,6041521.54
390.853225,6042397.295
390.1412452,6041084.177
389.4334817,6041890.301
388.7298955,6040958.075
388.0304484,6041222.613
387.3351027,6041322.295
386.6438209,6032678.027
385.9565661,6002883.64
385.2733019,5940633.909
384.5939922,5838127.241
383.9186014,5687906.815
383.2470943,5486436.4
382.5794362,5232013.363
381.9155926,4921506.474
381.2555296,4570396.297
380.5992136,4205347.668
379.9466115,3844418.076
379.2976904,3506779.835
378.652418,3202410.126
378.0107622,2940581.007
377.3726913,2726200.015
376.7381741,2562445.279
376.1071796,2442378.44
375.4796772,2353823.763
374.8556368,2287347.658
374.2350283,2233360.923
373.6178223,2187787.139
373.0039896,2145518.174
372.3935012,2104862.928
371.7863286,2066175.864
371.1824436,2029594.075
370.5818182,1996387.311
369.9844249,1968453.696
369.3902363,1947646.341
368.7992255,1935151.576
368.2113658,1932490.058
367.6266307,1940148.643
367.0449943,1956904.822
366.4664305,1983042.805
365.8909141,2016859.968
365.3184196,2055837.411
364.7489221,2099166.155
364.1823969,2143913.409
363.6188196,2188230.582
363.058166,2230571.825
362.5004122,2269404.115
361.9455346,2304037.987
361.3935098,2333111.931
360.8443147,2356020.848
360.2979263,2372723.228
359.754322,2382725.318
359.2134795,2385525.07
358.6753765,2380359.74
358.1399912,2367204.729
357.6073018,2345831.639
357.077287,2316270.444
356.5499253,2278199.482
356.025196,2232076.041
355.503078,2178420.771
354.983551,2118476.652
354.4665945,2053195.549
353.9521884,1983223.046
353.4403127,1909976.116
352.9309478,1834390.296
352.4240741,1757261.582
351.9196722,1679307.375
351.4177232,1601291.868
350.9182079,1523352.86
350.4211078,1445888.15
349.9264043,1368921.659
349.434079,1292669.516
348.9441137,1217314.485
348.4564906,1143197.329
347.9711917,1070016.26
347.4881996,998732.1082
347.0074967,929398.0585
346.5290657,862312.0541
346.0528897,797911.2155
345.5789517,736447.423
345.1072349,678123.012
344.6377228,623288.0475
