wave,flux
1817.164934,-3.499012082143996
1790.1022050000001,-5.239597206932415
1763.812741,1.043097403183472
1738.2646949999998,-2.8303074631576663
1713.427949,8.877270103474393
1689.273995,36.074570136312936
1665.7758310000002,64.75420851240528
1642.907862,102.69942844486107
1620.64581,163.2293105420496
1598.9666300000001,228.2857541600717
1577.8484310000001,301.8665539766454
1557.270407,389.08541784322165
1537.212767,462.8531836817845
1517.65668,536.5887224540792
1498.5842089999999,598.2731059763139
1479.978265,649.177320587945
1461.822555,693.0133021774324
1444.101535,730.062947472221
1426.800368,750.1365558880894
1409.904887,778.1147278196819
1393.401553,791.9874298075157
1377.2774220000001,811.0303256351988
1361.520115,826.4288104301614
1346.117782,839.0522580160698
1331.059081,858.3481219641418
1316.3331449999998,873.7685148332395
1301.92956,893.0043998641657
1287.838342,903.4668250726328
1274.049912,924.5460411435687
1260.5550779999999,940.4065767301497
1247.345017,965.56815553946
1234.4112519999999,973.7124469193224
1221.74564,978.4368794712708
1209.340352,1007.1612141442794
1197.187859,1016.5813119901848
1185.28092,1029.6292953694033
1173.612564,1077.3748964125014
1162.1760800000002,1111.9606442464456
1150.9650060000001,1115.0811990068519
1139.973115,1831.734313645283
1129.194406,3300.5314967543213
1118.623093,5413.172186712337
1108.253594,8278.150836256604
1098.0805269999998,11817.544504789084
1088.098695,16032.112296990688
1078.303081,20979.08198610521
1068.688841,26644.24038670483
1059.251295,33276.321686234616
1049.9859199999999,40958.680622453016
1040.8883449999998,49724.178042335305
1031.9543429999999,59414.80588063318
1023.1798259999999,70206.22921353426
1014.5608390000001,82008.5335906915
1006.0935529999999,94801.08927058654
997.774265,108500.38182713608
989.5993858999999,120962.82068287689
981.5654412999999,131946.43638354013
973.6690651,141578.9917158815
965.9069952,149805.57916590228
958.2760697000001,156550.96915966648
950.7732231000001,161956.76497986814
943.3954827,166040.81545442017
936.1399648,168765.73094364154
929.0038716,171362.93254897065
921.9844879000001,174034.74633515198
915.0791782,176926.43011288324
908.2853836000002,179718.57960261614
901.6006193,182816.148328801
895.0224714,185691.15073231046
888.548595,188836.01740829455
882.1767113,191964.1489922416
875.9046055,195315.0115876589
869.7301242999998,198695.1389986859
863.6511742999999,202226.39796459014
857.6657193,205899.5265457613
851.7717787,209790.487926752
845.9674256000001,213538.1087416218
840.2507849,217897.57821218067
834.6200316000001,221972.30310668386
829.0733892000001,226402.8500923805
823.6091279,230530.70420721808
818.2255633999999,234405.61749697372
812.9210552000001,237738.51829528649
807.694005,240741.8926450807
802.5428559,243205.75285830934
797.4660904,245368.57609345892
792.4622299,247419.6790336823
787.5298327,249457.7283165082
782.6674933999999,251253.5609976632
777.8738417999999,253144.34914607808
773.1475413,254697.9701867663
768.4872882999999,256125.3518775325
763.8918112000001,257288.20250815235
759.3598692,258665.2228748723
754.8902515999999,260746.67889004716
750.4817767999999,264181.58438415115
746.1332914,269994.0265622018
741.8436694000001,278412.99237998785
737.6118116,290375.17464549845
733.4366444,306458.3904458988
729.3171195,325048.6857408807
725.2522127999999,347655.047949005
721.2409241,371918.58748643217
717.282276,398147.02749038296
713.3753136,425539.9093480057
709.5191037000001,455369.58197947545
705.7127343,488246.8526843264
701.9553139,524283.36655218404
698.2459709,566276.5095694197
694.5838534,615045.98426397
690.9681281000001,670606.7599628088
687.3979803,734814.579666985
683.8726131,807137.5814821371
680.3912472999999,886329.5174651955
676.9531202000001,970972.8277472206
673.557486,1059480.5429916491
670.2036149,1148490.4255626223
666.8907926,1237337.9796682578
663.6183202999999,1323970.2104285131
660.3855139,1407521.148891891
657.1917038,1487770.2071718047
654.0362346,1567145.3934789225
650.9184646000001,1648069.1794301884
647.8377654,1737003.8587408825
644.7935217999999,1839699.0186217702
641.7851312999999,1965184.318615871
638.8120038,2122006.3966153446
635.8735614,2318295.932368644
632.9692378999999,2560410.0532976715
630.0984786,2851673.628847935
627.2607402000001,3185827.2414716375
624.4554901,3551605.172125468
621.6822068,3935268.122935929
618.940379,4322194.467482545
616.2295054,4694723.986995071
613.549095,5036205.311423281
610.8986664,5330473.004459279
608.2777476,5565366.911930819
605.6858758999999,5743722.634279867
603.1225977000001,5871975.031695138
600.5874682,5957680.670966097
598.0800512,6008333.375819881
595.5999188999999,6033336.7025104165
593.1466518,6041289.324141505
