wave,flux
1817.164934,6.853129638472228
1790.1022050000001,3.4746652263832782
1763.812741,-10.830420274521408
1738.2646949999998,7.572298542319668
1713.427949,342.72144061450354
1689.273995,1064.1556367121648
1665.7758310000002,2164.5900444488398
1642.907862,3623.557361302558
1620.64581,5462.682186243776
1598.9666300000001,7677.949751189173
1577.8484310000001,10252.528856218283
1557.270407,13184.44577409636
1537.212767,15903.704733026952
1517.65668,18289.05194130146
1498.5842089999999,20400.697249960915
1479.978265,22176.111640919058
1461.822555,23638.47950465096
1444.101535,24805.034421986707
1426.800368,25672.300738982984
1409.904887,26239.198003801357
1393.401553,26763.895182615048
1377.2774220000001,27281.624505295884
1361.520115,27804.392642649447
1346.117782,28327.157667954063
1331.059081,28864.663784613163
1316.3331449999998,29393.9750026295
1301.92956,29930.44388425766
1287.838342,30436.661940014023
1274.049912,30982.174316672208
1260.5550779999999,31543.887676507547
1247.345017,32070.619127172704
1234.4112519999999,32657.469796891237
1221.74564,33254.72590865442
1209.340352,33821.158443677836
1197.187859,34449.390333828465
1185.28092,35091.027955104844
1173.612564,35739.74799061803
1162.1760800000002,36380.89304690777
1150.9650060000001,37004.83810302292
1139.973115,37651.733469103376
1129.194406,38249.473246689886
1118.623093,38867.30983221535
1108.253594,39472.077462350586
1098.0805269999998,40121.17661676648
1088.098695,40711.2725716313
1078.303081,41455.897958348265
1068.688841,42396.031648115604
1059.251295,43546.31195674197
1049.9859199999999,45011.10087907483
1040.8883449999998,46860.83552896965
1031.9543429999999,49166.01363682775
1023.1798259999999,51940.53245160189
1014.5608390000001,55019.01795840522
1006.0935529999999,58562.333430930725
997.774265,62298.91585224772
989.5993858999999,66221.48860175376
981.5654412999999,70065.92845136633
973.6690651,73663.28943509195
965.9069952,77033.37738911058
958.2760697000001,79921.44960138711
950.7732231000001,82395.740521913
943.3954827,84392.82249845416
936.1399648,85703.93741715567
929.0038716,86664.22004337897
921.9844879000001,87211.7331576163
915.0791782,87602.693345151
908.2853836000002,87793.89173740121
901.6006193,88409.04636867654
895.0224714,89449.41166208465
888.548595,91251.26910512164
882.1767113,93906.69052569318
875.9046055,97455.72626993756
869.7301242999998,102525.49717583992
863.6511742999999,109119.5215567002
857.6657193,117589.81895421189
851.7717787,128730.73559385605
845.9674256000001,143219.2498896782
840.2507849,160863.57006247784
834.6200316000001,182373.5691857772
829.0733892000001,207386.97589284767
823.6091279,235987.11009884282
818.2255633999999,266029.46554770466
812.9210552000001,298800.91152038425
807.694005,331669.8139427371
802.5428559,362597.2559465452
797.4660904,393747.2044084773
792.4622299,425814.2978338159
787.5298327,461128.06845148717
782.6674933999999,499841.9321756533
777.8738417999999,549668.4221631257
773.1475413,614515.2091024183
768.4872882999999,698673.2113734279
763.8918112000001,806435.8103845434
759.3598692,935952.2563715866
754.8902515999999,1148236.2170323723
750.4817767999999,1433421.7922861394
746.1332914,1785966.6262544887
741.8436694000001,2198647.4049648317
737.6118116,2663172.427343017
733.4366444,3162755.927064306
729.3171195,3696911.5087682162
725.2522127999999,4258780.362773085
721.2409241,4737911.9466571035
717.282276,5129556.81159074
713.3753136,5450468.103976382
709.5191037000001,5696085.99090826
705.7127343,5871012.624874561
701.9553139,5984430.398697876
698.2459709,6042651.519373131
694.5838534,6040418.128894669
690.9681281000001,6041320.6998248035
687.3979803,6040395.931237738
683.8726131,6041652.997134964
680.3912472999999,6040792.572420318
676.9531202000001,6041364.164572606
673.557486,6041340.676641646
670.2036149,6040618.446832556
666.8907926,6041352.957299431
663.6183202999999,6042384.908195423
660.3855139,6040883.702504525
657.1917038,6040959.427084942
654.0362346,6043192.296851495
650.9184646000001,6040093.820017365
647.8377654,6040875.514124686
644.7935217999999,6041706.605008572
641.7851312999999,6039561.969927164
638.8120038,6041277.108371982
635.8735614,6041097.832200613
632.9692378999999,6041279.506686891
630.0984786,6041786.6060257675
627.2607402000001,6041966.961961315
624.4554901,6040110.165329808
621.6822068,6042772.166499359
618.940379,6041190.254990827
616.2295054,6041196.257930882
613.549095,6041560.689817517
610.8986664,6041689.658656855
608.2777476,6041611.756725652
605.6858758999999,6041250.639474983
603.1225977000001,6041225.385392812
600.5874682,6041394.939981435
598.0800512,6041572.6575786425
595.5999188999999,6041815.343349122
593.1466518,6041504.82038222
590.7198384999999,6041285.491639448
588.3190752,6041502.053488882
585.943966,6041029.8744097
583.5941226,6040929.16968648
581.2691637,6041731.3648134675
578.9687155,6041036.795264464
576.692411,6041457.701332249
574.4398902,6041124.897923071
572.2107997,6041445.513840339
570.0047927,6041023.646336783
567.8215287,6041516.208779815
565.6606737000001,6041745.941808045
563.5218996,6041356.221237475
561.4048845,6041351.551002213
559.3093121,6040996.210978737
557.2348721,6041401.450155172
555.1812597,6041582.620466414
553.1481756000001,6041786.211678153
551.1353259,6041271.118713415
549.1424218999999,6041359.067545196
547.1691801,6041072.543640659
545.2153222000001,6041625.497447208
543.2805745000001,6041783.310942627
541.3646685,6041370.138798296
539.46734,6041068.075170494
537.5883299,6041748.357039291
535.7273833,6041168.640891061
533.8842498,6041100.416728113
532.0586836,6041271.960511492
530.2504428000001,6041292.9816811485
528.45929,6041381.437494682
526.6849915,6041140.926513038
524.927318,6041451.306838126
523.186044,6041382.768407195
521.4609475999999,6041450.576248728
519.7518110000001,6041527.749264931
518.0584200000001,6041706.987820177
516.3805639,6041696.649489017
514.7180356,6041588.464951344
513.0706316000001,6041574.08290195
511.43815149999995,6041396.079297659
509.82039860000003,6041509.751196609
508.2171791999999,6041457.945633655
506.628303,6041454.498467668
505.05358269999994,6041468.04918666
503.4928341,6041225.244962539
501.9458762,6041376.561530665
500.41253059999997,6041154.583494563
498.8926222,6041353.014059152
497.3859785,6041319.964858767
495.89242989999997,6041919.725262479
494.4118094,6041111.309183617
492.943953,6041396.091430665
491.488699,6041668.796229033
490.04588839999997,6041420.100544852
488.6153648,6041072.539913488
487.19697429999997,6041447.517343148
485.7905654,6041615.839140062
484.39598889999996,6041174.553846704
483.01309800000007,6041252.054905162
481.64174840000004,6041565.625233972
480.28179789999996,6041310.0426088665
478.93310639999993,6041651.279334905
