wave,flux
1817.164934,-13.518455960771925
1790.1022050000001,16.46021084253597
1763.812741,24.248791282459308
1738.2646949999998,71.54337025075847
1713.427949,464.1522768690129
1689.273995,1377.7818210717212
1665.7758310000002,2840.8633418106506
1642.907862,4884.289917666873
1620.64581,7446.866025609191
1598.9666300000001,10677.413946217506
1577.8484310000001,14513.858194674931
1557.270407,19002.40603258677
1537.212767,23507.011689575836
1517.65668,27833.383608017422
1498.5842089999999,31897.266589807383
1479.978265,35738.8707211216
1461.822555,39270.49654760825
1444.101535,42490.64989452624
1426.800368,45378.40987834532
1409.904887,47928.9334981021
1393.401553,50324.67783161512
1377.2774220000001,52695.532954192546
1361.520115,55048.89608040462
1346.117782,57417.04962442201
1331.059081,59742.675990093914
1316.3331449999998,62133.90375182835
1301.92956,64470.56821268412
1287.838342,66803.43523200325
1274.049912,69210.27231695464
1260.5550779999999,71610.43694151552
1247.345017,74007.77460404196
1234.4112519999999,76424.90200668553
1221.74564,78895.50657032033
1209.340352,81332.39863683961
1197.187859,83827.895553943
1185.28092,86419.95226226884
1173.612564,88998.57149929822
1162.1760800000002,91634.01181368447
1150.9650060000001,94351.91670126244
1139.973115,96946.45084165467
1129.194406,99675.69784242347
1118.623093,102284.69446210797
1108.253594,105013.10212534905
1098.0805269999998,107576.729475404
1088.098695,110363.29847917744
1078.303081,113135.04745842172
1068.688841,116170.85391908846
1059.251295,119711.40437057348
1049.9859199999999,123444.34917296836
1040.8883449999998,127978.19179849721
1031.9543429999999,133234.20951677774
1023.1798259999999,138878.4381484013
1014.5608390000001,145437.21329939686
1006.0935529999999,152688.39159510672
997.774265,160407.59383715954
989.5993858999999,168395.79268234296
981.5654412999999,176502.1455176005
973.6690651,184491.7683569656
965.9069952,192642.42975079414
958.2760697000001,200033.11999506602
950.7732231000001,207098.5145687752
943.3954827,213594.85185622878
936.1399648,219436.2298069764
929.0038716,224625.58783543695
921.9844879000001,229577.5355589609
915.0791782,234186.53707418693
908.2853836000002,238428.0280968074
901.6006193,243406.936466218
895.0224714,248600.50739662535
888.548595,254583.4949293261
882.1767113,262336.1748595696
875.9046055,271232.0298241069
869.7301242999998,282253.7174950134
863.6511742999999,295245.99085603177
857.6657193,311779.16887558514
851.7717787,332120.89055947034
845.9674256000001,357926.3063400117
840.2507849,388435.6095130674
834.6200316000001,425585.63672174775
829.0733892000001,467655.05101359
823.6091279,517496.5179366026
818.2255633999999,572401.7123387648
812.9210552000001,630165.6236766096
807.694005,690219.29957313
802.5428559,750701.8624181445
797.4660904,812441.105619477
792.4622299,875522.4149039921
787.5298327,943354.3478873528
782.6674933999999,1022563.8541270556
777.8738417999999,1116400.3816151468
773.1475413,1230920.918966434
768.4872882999999,1374399.0133644338
763.8918112000001,1554013.5804090137
759.3598692,1771435.468510484
754.8902515999999,2022271.4353639327
750.4817767999999,2306747.0168647734
746.1332914,2614526.150522897
741.8436694000001,2938329.388094101
737.6118116,3258007.3233014783
733.4366444,3570754.3476230786
729.3171195,3872507.466082476
725.2522127999999,4156601.237606578
721.2409241,4422404.215619072
717.282276,4663124.147093293
713.3753136,4883681.593265097
709.5191037000001,5090075.782863527
705.7127343,5277639.543867877
701.9553139,5457614.483066985
698.2459709,5612971.884227819
694.5838534,5737562.091596227
690.9681281000001,5838401.251111997
687.3979803,5916885.320596648
683.8726131,5975515.531129938
680.3912472999999,6011635.269598525
676.9531202000001,6034057.3184488425
673.557486,6041251.60110494
670.2036149,6044469.099734012
666.8907926,6041923.937431267
663.6183202999999,6042207.963725543
660.3855139,6040807.721341598
657.1917038,6041155.105175917
654.0362346,6042239.59655915
650.9184646000001,6040305.101942354
647.8377654,6041420.824707684
644.7935217999999,6041226.845650427
641.7851312999999,6041499.701553374
638.8120038,6041711.00564927
635.8735614,6041526.414522122
632.9692378999999,6040752.577703105
630.0984786,6042941.450050736
627.2607402000001,6040874.433426928
624.4554901,6041448.242345363
621.6822068,6041114.183933368
618.940379,6040989.509663694
616.2295054,6041981.017425694
613.549095,6042192.388391937
610.8986664,6041858.733396202
608.2777476,6041992.713474965
605.6858758999999,6041553.975943248
603.1225977000001,6041376.143523677
600.5874682,6041656.38928116
598.0800512,6041157.781338129
595.5999188999999,6041518.580974433
593.1466518,6041230.261142414
590.7198384999999,6041277.073383496
588.3190752,6040512.652131019
585.943966,6041665.040601102
583.5941226,6041696.795072823
581.2691637,6041624.980000145
578.9687155,6041278.674979469
576.692411,6041415.116949115
574.4398902,6041380.725516362
572.2107997,6041396.423399827
570.0047927,6041868.0269269375
567.8215287,6041389.342804773
565.6606737000001,6041668.986712401
563.5218996,6040873.90417453
561.4048845,6041435.854483103
559.3093121,6041245.873918407
557.2348721,6041670.91880493
555.1812597,6041724.824422835
553.1481756000001,6041463.771040748
551.1353259,6041544.198386854
549.1424218999999,6041658.261286742
547.1691801,6041064.265249337
545.2153222000001,6041035.689850946
543.2805745000001,6041388.976853463
541.3646685,6041079.21535314
539.46734,6041091.8503319975
537.5883299,6041362.674616997
535.7273833,6041306.202451383
533.8842498,6041448.110530052
532.0586836,6041394.650809065
530.2504428000001,6041412.278191892
528.45929,6041667.934617814
526.6849915,6041649.151386046
524.927318,6041569.466924959
523.186044,6041076.32894156
521.4609475999999,6041488.410074592
519.7518110000001,6041357.26273614
518.0584200000001,6041525.060776383
516.3805639,6041671.632951121
514.7180356,6041432.849103237
513.0706316000001,6041341.240931209
511.43815149999995,6041008.761826774
509.82039860000003,6041694.9584699785
508.2171791999999,6041565.03933248
506.628303,6041415.11498565
505.05358269999994,6041799.295285777
503.4928341,6041562.187170235
501.9458762,6041422.985120071
500.41253059999997,6041440.437615493
498.8926222,6041812.065560812
497.3859785,6041085.373118434
495.89242989999997,6041141.723354296
494.4118094,6041494.492411087
492.943953,6041748.362934822
491.488699,6041710.255723798
490.04588839999997,6041452.303214237
488.6153648,6041500.410399885
487.19697429999997,6041173.699107695
485.7905654,6041216.78816073
484.39598889999996,6041351.271560869
483.01309800000007,6041388.786909003
481.64174840000004,6041615.783286336
480.28179789999996,6041352.887234155
478.93310639999993,6041580.610554768
477.59553619999997,6041444.720222716
476.2689517,6041676.863924475
474.9532192,6041138.630264409
473.6482074,6040848.393967614
472.35378679999997,6041384.53360962
471.06982989999995,6041296.52235606
469.79621110000005,6041235.440551395
468.53280700000005,6041606.03205491
467.2794956999999,6041563.5384241175
466.0361575,6041632.133653668
464.80267410000005,6041522.243058507
463.5789295,6037788.1415170375
462.364809,6027631.490277262
461.1601998,6005973.5934186615
459.9649909,5970385.331144092
458.7790727,5918686.58087743
457.6023374,5847704.022240917
456.4346788,5757139.434533351
455.2759921,5643640.789244923
454.12617439999997,5513622.877958588
452.9851239,5372865.915695095
451.85274060000006,5227644.797952948
450.7289258,5084139.985361739
449.6135822,4946667.728727908
448.5066141,4820685.6783118835
447.407927,4711755.729116288
446.317428,4624398.054848784
445.23502520000005,4560617.2039122665
444.1606283,4519699.10249441
443.0941482,4501787.472299742
442.03549699999996,4503252.209992727
440.9845882,4519781.65741477
439.9413364,4546828.568087125
438.9056575,4575728.6292571565
437.87746860000004,4598400.269503695
436.85668780000003,4606931.429095724
435.8432345,4594332.0961096985
434.83702930000004,4554650.687995682
433.83799369999997,4487023.065974603
432.84605039999997,4391457.449546243
431.8611232,4271286.458048942
430.8831369,4131082.8471780564
429.9120175,3978990.073307218
428.94769169999995,3820746.6498089833
427.9900874,3663199.2640285664
427.03913370000004,3511335.9105424527
426.0947602,3369438.1443407717
425.1568978,3240131.3119876427
424.22547829999996,3124278.554662527
423.3004343,3022582.79482567
422.3816994,2933812.9993364806
421.4692081,2857334.477897933
420.56289569999996,2791523.8249414507
419.66269850000003,2735391.258845307
418.7685535,2687050.1840648386
417.8803987,2645431.330389289
416.9981727,2608438.842642698
416.12181519999996,2576027.7677202257
415.25126639999996,2545120.4081990947
414.38646760000006,2516118.5103623117
413.5273605,2486772.6846332503
412.673888,2456619.3533899733
411.8259934,2424318.489743746
410.9836208,2390304.9243805483
410.14671519999996,2353112.339282133
409.3152221,2313008.718880092
408.48908789999996,2271080.243323424
407.66825960000006,2227434.0570399426
406.8526847,2183910.131066604
406.0423117,2141952.846393499
405.2370896,2102447.196436026
404.43696800000004,2067900.600988787
403.64189730000004,2038737.5488401384
402.8518283,2015968.8282053557
402.0667126,1999751.7279272957
401.28650239999996,1988972.0510011031
400.5111505,1980703.754686927
399.7406101,1973518.5214660147
398.9748353,1965396.890862644
398.2137806,1954254.7731699809
397.457401,1939318.3709181559
396.7056521,1919852.2829179103
395.9584903,1896364.092350651
395.2158722,1870249.9821903072
394.4777551,1847161.8974299412
393.7440968,1828661.09699622
393.0148555,1816789.7400196826
392.2899901,1813561.8565840197
391.56946,1819406.1992809768
390.853225,1833433.5532647097
390.1412452,1854091.0925164584
389.43348169999996,1878476.7453286787
388.7298955,1900773.9776935729
388.03044839999995,1918103.7407733041
387.3351027,1927326.4764204063
386.6438209,1924580.8670224512
385.95656610000003,1908358.52468278
385.2733019,1877788.374033581
384.5939922,1833062.7764304841
383.9186014,1775773.3464916819
383.2470943,1707950.799939221
382.5794362,1632855.2281397663
381.9155926,1553148.6548862562
381.2555296,1472390.6155857674
380.59921360000004,1393632.0068104055
379.9466115,1319368.3406995514
379.29769039999996,1251464.8036952924
378.652418,1191776.985435123
378.0107622,1140870.1570699257
377.37269130000004,1098972.2803906016
376.73817410000004,1065118.5741265223
376.1071796,1038265.0544293344
375.47967719999997,1016783.21566012
374.8556368,998648.1999582744
374.2350283,981969.3168231745
373.6178223,964624.5406558521
373.0039896,945227.6502454809
372.3935012,922613.2070375964
371.78632860000005,896157.6984352658
371.1824436,865944.5994603505
370.5818182,832494.7448762645
369.98442489999996,796608.9546477034
369.39023629999997,759513.192430809
368.7992255,722279.9654388953
368.2113658,686244.6575217318
367.6266307,652568.8684122758
367.0449943,621956.9568168769
366.4664305,594803.6114381376
365.89091410000003,571349.0399944859
365.3184196,551318.4966545962
364.7489221,534542.1321165648
364.18239689999996,520856.6013363426
363.61881960000005,509405.4699552723
363.058166,499838.4345991346
362.50041219999997,491851.3246507483
361.94553460000003,484915.7142818381
361.3935098,478854.18230493326
360.8443147,473351.7671947978
360.29792630000003,468199.1235181493
359.754322,463473.17795870977
359.2134795,458539.6977027487
358.6753765,453578.08787588397
358.1399912,448256.1490998236
357.6073018,442454.03708933643
357.077287,435951.9580380363
356.5499253,428735.21239252615
356.025196,420610.2772961232
355.50307799999996,411533.9064898086
354.983551,401586.96545034077
354.4665945,390752.7906255339
353.95218839999995,379138.9439749888
353.4403127,366773.9930988101
352.9309478,353802.2787019332
352.42407410000004,340283.9874775248
351.9196722,326454.08711568854
351.4177232,312305.6052105837
350.91820789999997,297912.5842851617
350.4211078,283395.1201969764
349.9264043,268881.67030620715
349.434079,254303.7930728843
348.9441137,239856.04894662017
348.45649060000005,225498.17442409325
347.97119169999996,211340.90849774747
347.48819960000003,197400.70106868405
347.0074967,183824.51530210974
346.5290657,170671.0716610503
346.0528897,158008.05063512444
345.5789517,145878.33394030016
345.1072349,134331.01354971726
344.6377228,123469.28952044467
344.17039889999995,113224.3130828682
343.70524710000007,103706.57517417749
343.24225110000003,94910.68955222002
342.7813952,86795.62397913152
342.32266339999995,79303.37731682787
341.8660403,72461.42903564894
341.4115102,66191.07700461452
340.959058,60502.65510109063
340.5086685,55347.079764978356
340.06032660000005,50683.31429103389
339.6140175,46446.33887408848
339.1697264,42669.16143131395
338.7274388,39311.42669283809
338.28714019999995,36341.572748727594
337.8488164,33741.419058556414
337.41245310000005,31435.620147325684
336.9780363,29423.13475807057
336.5455522,27629.407603559706
336.114987,26025.202784223922
335.686327,24574.588024482204
335.2595588,23226.12317595228
334.834669,21979.534143670047
334.4116443,20770.510273412452
333.9904716,19626.57576901408
333.57113799999996,18531.952033518326
333.1536305,17495.00550486144
332.73793639999997,16548.747031524286
332.32404310000004,15663.6654622593
331.91193799999996,14837.663673598057
331.5016088,14083.093015896191
331.0930432,13375.127132274052
330.6862289,12745.668984274029
330.281154,12150.943938234424
329.8778065,11598.069006296118
329.47617460000004,11083.98143614761
329.07624649999997,10602.019934620717
328.6780106,10144.100437366309
328.2814555,9713.533042496852
327.88656960000003,9305.023424265612
327.4933418,8907.033608387028
327.1017607,8519.831432928571
326.7118154,8140.907950018568
326.32349480000005,7744.6055300721
325.93678789999996,7362.271151516397
325.5516841,6972.396053769191
325.16817260000005,6589.405277964279
324.7862428,6203.118709972011
324.40588419999995,5863.7231937069555
324.0270864,5539.927902209778
323.649839,5250.732372699231
323.2741319,4973.233341756877
322.8999548,4735.888958885003
322.5272977,4522.026660599736
322.1561508,4322.6408824935625
321.786504,4149.368516479517
321.4183476,3968.6500036739812
321.0516719,3806.931503710585
320.6864673,3638.569726792604
320.3227243,3488.7278499319905
319.96043330000003,3340.107225789787
319.5995851,3180.401795741135
319.2401704,3039.8792225518896
318.8821799,2900.7548699868757
318.5256045,2771.4323183470697
318.1704352,2648.145449513794
317.8166631,2515.399214614134
317.4642791,2391.114046220126
317.1132746,2273.941791791851
316.76364069999994,2151.191001293869
316.4153688,2032.086571820744
316.06845039999996,1912.5537384595546
315.72287689999996,1793.526200313574
315.37863980000003,1687.2006086483366
315.0357308,1574.4395350632385
314.6941415,1469.8179962658623
314.3538639,1365.0130346409924
314.0148896,1258.4601482865571
313.6772106,1164.3063338717786
313.3408189,1065.826619680818
313.00570639999995,982.4929805708133
312.67186549999997,894.3352234873902
312.33928810000003,819.8351559695208
312.0079665,748.4775486341777
311.6778931,675.267441385122
311.34906010000003,607.4358937319486
311.0214601,541.662504096408
310.6950856,489.31275390509666
310.369929,433.96312065387406
310.04598300000004,387.20111405088926
309.7232403,339.71444168064124
309.4016935,291.09132330364446
309.0813356,257.39960941281157
308.7621594,217.56980514822789
308.4441577,187.23458766056984
308.1273236,161.36918430722525
307.8116501,136.19432788658963
307.49713019999996,107.62053509268073
307.18375710000004,72.491827474637
306.871524,49.08018171222857
306.5604242,32.347205965184564
306.2504509,21.24270832954911
