wave,flux
1817.164934,-1.5877660506856055
1790.1022050000001,3.2754780037899787
1763.812741,0.6426398919556684
1738.2646949999998,0.5734104623170614
1713.427949,-1.5048485560027642
1689.273995,-0.5030408352022093
1665.7758310000002,-2.1683615511567016
1642.907862,7.4157031497437025
1620.64581,5.928292673874045
1598.9666300000001,-0.49266074885129296
1577.8484310000001,2.3103355601856106
1557.270407,26.71626591090604
1537.212767,7.768855371554384
1517.65668,-4.073804835624949
1498.5842089999999,-21.278285747506644
1479.978265,-0.4505131460888143
1461.822555,60.07361579648592
1444.101535,458.6195089001872
1426.800368,1585.6865508054354
1409.904887,3873.0351862098864
1393.401553,7494.639215710257
1377.2774220000001,12665.42534597757
1361.520115,19823.45495359512
1346.117782,29058.278131452735
1331.059081,40277.611238888065
1316.3331449999998,53480.64537832749
1301.92956,67784.28044016968
1287.838342,82944.35193907353
1274.049912,98777.69639942572
1260.5550779999999,114867.12729595506
1247.345017,130883.20301939124
1234.4112519999999,146620.75209460652
1221.74564,161691.5295989725
1209.340352,176265.6989999628
1197.187859,190343.26886418552
1185.28092,203560.36837703025
1173.612564,215843.56386481988
1162.1760800000002,227012.6109184149
1150.9650060000001,237084.35165857512
1139.973115,246108.26269519515
1129.194406,253996.70480929725
1118.623093,260839.13487197386
1108.253594,266528.9096415493
1098.0805269999998,271800.023039467
1088.098695,276143.4451244517
1078.303081,280642.8654566905
1068.688841,284667.40922484826
1059.251295,288510.84015068435
1049.9859199999999,292288.85269723943
1040.8883449999998,296093.0138881238
1031.9543429999999,300075.8969727027
1023.1798259999999,303822.09770722897
1014.5608390000001,307822.5647521488
1006.0935529999999,311783.061858072
997.774265,315975.38116389874
989.5993858999999,319697.92755285423
981.5654412999999,324046.04775924736
973.6690651,327924.07293638587
965.9069952,332257.7816270612
958.2760697000001,336646.5306026032
950.7732231000001,341738.2832181344
943.3954827,347372.8171749806
936.1399648,353231.128008931
929.0038716,361051.8683834898
921.9844879000001,369191.16822894505
915.0791782,379219.84321022755
908.2853836000002,390747.48690378177
901.6006193,404124.70211263397
895.0224714,419646.4284328975
888.548595,436616.7816010399
882.1767113,455520.5994554047
875.9046055,476761.98547144904
869.7301242999998,498881.4452002089
