FIND_NAME,MAIN_ID,OTYPE,SP_TYPE,ID_Gaia,IDS,OTYPES,Gaia DR3
RAW 1691,LIN 521,C*,C,Gaia DR2 4687286621186701568,RAW 1691|LIN 521|2MASS J01183570-7242213|OGLE SMC-LPV-19013|SSTISAGEMA J011835.69-724221.5|TIC 183642478|[MA93] 1858|Gaia DR2 4687286621186701568|Gaia DR3 4687286621186701568,C*|Em*|LP*|LP*|Em*|MIR|NIR|*|C*?|LP?,4687286621186701568
[BE74] 583,[BE74] 583,LongPeriodV*,G/Ke:,Gaia DR2 4651824725526390016,2MASS J05265014-7106350|EROS2-star lm058-2n-25947|TIC 373985128|UCAC2   1349317|UCAC4 095-007599|[BE74] 583|[H2013] LMCe  842|[L63] 233|Gaia DR2 4651824725526390016|Gaia DR3 4651824725526390016,LP*|Em*|NIR|V*|*,4651824725526390016
StHA 55,EM* StHA   55,Mira,,Gaia DR3 3321366590173335424,IRAS 05440+0642|ASAS J054642+0643.7|ASAS J054642+0643.8|ATO J086.6753+06.7297|EM* StHA   55|2MASS J05464207+0643469|TIC 156354929|UCAC2  34057339|WISEA J054642.07+064347.1|WISE J054642.08+064347.4|[LC2007] 58|[WWV2004] J0546421+064348|Gaia DR3 3321366590173335424|Gaia DR2 3321366590173335424,Mi*|LP*|V*|LP*|SB*|LP*|MIR|V*|Em*|NIR|*|C*?|IR|LP?|Opt,3321366590173335424
ZZ CMi,V* ZZ CMi,LongPeriodV*,M6I-IIep,Gaia DR3 3155368612444708096,BD+09  1633|AN  306.1934|DO  2156|GCRV  4915|GSC 00763-00273|HIC  35915|HIP 35915|IRAS 07214+0859|IRC +10162|2MASS J07241400+0853518|SV* P  3026|TIC 453173127|TYC  763-273-1|V* ZZ CMi|WEB  7153|AAVSO 0718+09|Gaia DR3 3155368612444708096|Gaia DR2 3155368612444708096,LP*|NIR|V*|*|IR|LP?,3155368612444708096
WRAY 16−51,WRAY 16-51,LongPeriodV*,M4,Gaia DR2 5410876219860836224,IRAS 09316-4621|AKARI-IRC-V1 J0933295-463450|DENIS J093329.5-463451|2MASS J09332956-4634510|PK 271+03  1|TIC 78717070|UCAC2  11729901|UCAC3 87-80581|UCAC4 218-038972|WISEA J093329.59-463451.1|WISE J093329.55-463451.0|WRAY 16-51|Gaia DR2 5410876219860836224|Gaia DR3 5410876219867043072,LP*|NIR|MIR|Em*|PN|*|IR,5410876219867043072
NSV 05572,V* VX Crv,Mira,M9III,Gaia DR3 3575939163051304192,NSV  5572|ASAS J122152-1353.2|ATO J185.4686-13.8861|CRTS J122152.3-135310|CSV   1852|2MASS J12215248-1353102|SV* P   811|SV* R   234|TIC 40557879|UCAC2  26892341|UCAC4 381-062571|V* VX Crv|WISEA J122152.47-135310.1|WISE J122152.49-135310.1|[WWV2004] J1221524-135309|Gaia DR3 3575939163051304192|Gaia DR2 3575939163050071168,LP*|Mi*|Mi*|AB*|LP*|NIR|V*|MIR|*|Mi?|Opt,3575939163051304192
AE Cir,V* AE Cir,RCrBV*,,Gaia DR3 5799841957262188928,SV* HV  5112|GSC2 S21330229737|Hen 3-1025|2MASS J14445133-6923345|TIC 258094384|V* AE Cir|WRAY 15-1240|AAVSO 1436-68|Gaia DR3 5799841957262188928|Gaia DR2 5799841957262188928,pA*|CV*|Sy*|V*|RC*|Em*|NIR|*,5799841957262188928
V748 Cen,V* V748 Cen,EclBin,Ae,Gaia DR3 6204217186929931520,CD-32 10517|ALS 18924|CRTS J145936.6-332503|CSV   2229|GSC 07302-02324|Hen 3-1045|LSE 101|2MASS J14593668-3325040|SOPS   IV c-106|SV* BV  1472|SV* SON  5003|TIC 75433970|TYC 7302-2324-1|V* V748 Cen|[OM87] 145632.12-331309.6|Gaia DR3 6204217186929931520|Gaia DR1 6204217182629728512|Gaia DR2 6204217186929931520,EB*|Ro*|NIR|V*|Em*|*,6204217186929931520
V345 Nor,V* V345 Nor,Mira,O-rich,Gaia DR3 5981389610704878336,NSV  7429|BAaDE ad3a-22685|IRAS 16030-5156|2MASS J16065168-5204345|SV* HV  8827|TIC 215126621|V* V352 Nor|V* V345 Nor|AAVSO 1559-51|Gaia DR3 5981389610704878336|Gaia DR2 5981389610704878336,Mas|Mi*|Mi*|AB*|Mas|V*|NIR|*|IR|LP?|V*?,5981389610704878336
V934 Her,V* V934 Her,LongPeriodV*,M2III,Gaia DR3 4571810378118789760,HD 154791|2A 1704+241|3A 1703+241|AG+24 1704|AGKR 15254|AP J17063452+2358186|AT 1700+239|1AXG J170634+2358|BD+24  3121|DO 15788|1E 1704.4+2402|2E  3831|2E 1704.4+2402|1ES 1704+24.0|GSC 02060-00757|1H 1706+241|HIC  83714|HIP 83714|INTREF   746|IRAS 17044+2402|2MASS J17063452+2358186|2MAXI J1706+240|PBC J1706.5+2358|PPM 105555|RBS  1627|RX J1706.5+2358|1RXS J170634.5+235816|SAO  84844|SDSS J170634.54+235818.5|SKY# 30847|SWIFT J1706.7+2401|TIC 257212213|TYC 2060-757-1|4U 1700+24|V* V934 Her|2XMM J170634.4+235818|XSS J17070+2354|YZ  24  5850|[BM83] X1704+240|[MG2001] PSPC  4|[MG2001] HRI 1|[ZEH2003] RX J1706.5+2358  5|AAVSO 1702+24|Gaia DR3 4571810378118789760|Gaia DR1 4571810373820219904|Gaia DR2 4571810378118789760,LP*|LXB|LXB|V*|NIR|*|IR|Opt|X|X|gam,4571810378118789760
